"Actions","کنش‌ها"
"An error occurred while marking notification as read.","در حین خواندن اطلاعیه یک خطا رخ داد."
"An error occurred while marking the messages as read.","در حین خواندن پیام‌ها یک خطا رخ داد."
"An error occurred while removing messages.","در حین برداشتن پیام‌ها یک خطا رخ داد."
"An error occurred while removing the message.","در حین برداشتن پیام یک خطا رخ داد."
"Are you sure?","شما مطمئن‌اید؟"
"Date Added","تاریخ افزودن"
"Last Update","آخرین به روز رسانی"
"Mark as Read","نشانه گذاری خوانده شده"
"Mark as read","نشانه گذاری خوانده شده"
"Message","پیام"
"Messages Inbox","صندوق پیام‌های دریافتی"
"Notifications","اطلاعیه‌ها"
"Please select messages.","لطفا پیام‌ها را انتخاب کنید."
"Read Details","خواندن جزییات"
"Remove","برداشتن"
"Severity","شدت"
"Show List","نمایش لیست"
"Show Toolbar","نمایش نوار ابزار"
"The message has been marked as read.","پیام به عنوان خوانده شده نشانه گذاری شد."
"The message has been removed.","پیام برداشته شد."
"Total of %d record(s) have been marked as read.","مجموع %d رکورد به عنوان خوانده شده نشانه گذاری شد(ند)."
"Total of %d record(s) have been removed.","مجموع %d رکورد برداشته شد(ند)."
"Unable to proceed. Please, try again.","ناتوان به ادامه. لطفا دوباره سعی نمایید."
"Update Frequency","تکرار به روز رسانی"
"Use HTTPS to Get Feed","استفاده از HTTPS برای دریافت فید"
"critical","بحرانی"
"major","عمده"
"minor","جزئی"
"notice","توجه"
