" The customer does not exist in the system anymore.","دیگر مشتری در سیستم وجود ندارد."
" [deleted]"," [حذف شده]"
" and "," و "
"%s (Default Template from Locale)","%s (قالب پیش فرض از تنظیمات محلی)"
"%s cache type(s) disabled.","%s نوع کش ناممکن شد."
"%s cache type(s) enabled.","%s نوع کش ممکن شد."
"%s cache type(s) refreshed.","%s نوع کش رفرش شد."
"(Absolute path or Relative to Magento install root, ex. var/export)","(مسیر مستقل یا نسبی به ریشه‌ی نصب مجنتو، مثال: var/export)"
"(For US 2-letter state names)","(نام‌های ایالت 2 حرفی برای ایالات متحده)"
"(If left empty will be auto-generated)","(اگر خالی باقی مانده بود به صورت خودکار تولید خواهد شد)"
"(Leave empty for first spreadsheet)","(برای اولین صفحه گسترده خالی باقی بگذارید)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(اگر ستون ‘فروشگاه’ در فایل ورودی نوشته نشده یا از دست رفته است، محصولات برای این فروشگاه اضافه/به روز خواهند شد.)"
"(Shift-)Click or drag to change value","برای تغییر مقدار (Shift-(Click یا درگ کنید"
"(Starting with)","(شروع با)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(در صورت ‘خیر’ بودن تنها فیلدهای نگاشته شده وارد خواهند شد. هنگام مسیر دهی، 'column1', 'column2' و غیره را به کار ببرید.)"
"(You have to increase php memory_limit before changing this value)","(شما باید پیش از تغییر دادن این مقدار memory_limit را در php افزایش دهید)"
"(\\t for tab)","(\\t برای تب)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - اگر فهرست سازی انجام می‌شود، آن منتفی شده و فرایند فهرست سازی جدید آغاز خواهد شد."
"- Click on any of the time parts to increase it","- برای افزایش دادن هر یک از بخش‌های زمان بر روی آن کلیک کنید"
"- Hold mouse button on any of the above buttons for faster selection.","- برای انتخاب سریع‌تر کلیک موس را بر روی هر یک از دکمه‌های فوق نگه دارید."
"- Use the %s buttons to select month","- برای انتخاب ماه دکمه‌های %s را به کار ببرید"
"- Use the %s, %s buttons to select year","- برای انتخاب سال دکمه‌های %s, %s را به کار ببرید"
"- or Shift-click to decrease it","- یا Shift-click کنید تا آن را کاهش دهید"
"- or click and drag for faster selection.","- یا برای انتخاب سریع‌تر آن کلیک و درگ کنید."
"-- Not Selected --","-- انتخاب نشده --"
"-- Please Select --","-- لطفا انتخاب نمایید --"
"-- Please Select Billing Agreement--","-- لطفا قرارداد صدور صورت حساب را انتخاب نمایید--"
"-- Please Select a Category --","-- لطفا یک رده را انتخاب نمایید --"
"-- Please select --","-- لطفا انتخاب نمایید --"
"--Please Select--","--لطفا انتخاب نمایید--"
"1 Hour","1 ساعت"
"12 Hours","12 ساعت"
"12h AM/PM","12س ق.ظ/ب.ظ"
"2 Hours","2 ساعت"
"24 Hours","24 ساعت"
"24h","24س"
"2YTD","2 سال گذشته تا کنون"
"6 Hours","6 ساعت"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">خطای 404</h1><p>صفحه یافت نشد.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","یک گذرواژه‌ی جدید به آدرس ایمیل شما فرستاده شد. لطفا ایمیل خود را بررسی نمایید و برای ورود بر روی بازگشت کلیک کنید."
"A user with the same user name or email aleady exists.","اکنون یک کاربر با نام کاربری یا ایمیل یکسان وجود دارد."
"API Key","کلید API"
"API Key Confirmation","تایید کلید API"
"Abandoned Carts","سبدهای رها شده"
"About the calendar","درباره‌ی تقویم"
"Access Denied","دسترسی ممنوع شده"
"Access denied","دسترسی ممنوع شده"
"Access denied.","دسترسی ممنوع شده."
"Account Created in:","حساب ایجاد شده در:"
"Account Created on (%s):","حساب ایجاد شده بر روی (%s):"
"Account Created on:","حساب ایجاد شده بر روی:"
"Account Information","اطلاعات حساب"
"Account Status","وضعیت حساب"
"Account status","وضعیت حساب"
"Action","کـنـش"
"Actions","کنش‌ها"
"Actions XML","XML کنش‌ها"
"Active","فعال"
"Add","افزودن"
"Add Author","افزودن نویسنده"
"Add Contents Path","افزودن مسیر محتویات"
"Add Exception","افزودن استثنا"
"Add Field Mapping","افزودن فیلد مپینگ"
"Add Field with URL:","افزودن فیلد با URL:"
"Add New Image","افزودن تصویر جدید"
"Add New Profile","افزودن پروفایل جدید"
"Add New Role","افزودن وظیفه‌ی جدید"
"Add New Template","افزودن قالب جدید"
"Add New URL Rewrite","افزودن بازنویسی URL جدید"
"Add New User","افزودن کاربر جدید"
"Add New Variable","افزودن متغیر جدید"
"Add New osCommerce Profile","افزودن پروفایل osCommerce جدید"
"Add PHP Extension dependency","افزودن وابستگی اکستنشن PHP"
"Add Package dependency","افزودن وابستگی بسته"
"Add URL Rewrite","افزودن بازنویسی URL"
"Add URL Rewrite for a Category","افزودن بازنویسی URL برای یک رده"
"Add URL Rewrite for a Product","افزودن بازنویسی URL برای یک محصول"
"Add after","افزودن پس از"
"Additional Cache Management","مدیریت کش اضافی"
"Address Type:","نوع آدرس:"
"Admin","مدیر"
"Advanced Admin Section","بخش مدیریت پیشرفته"
"Advanced Profiles","پروفایل‌های پیشرفته"
"Advanced Section","بخش پیشرفته"
"All","همه"
"All Allowed Countries","همه‌ی کشورهای مجاز"
"All Cache","همه‌ی کش"
"All Files","همه‌ی فایل‌ها"
"All Reviews","همه‌ی نظرات"
