" and "," و "
"(Absolute path or Relative to Magento install root, ex. var/export)","(مسیر مستقل یا نسبی به ریشه‌ی نصب مجنتو، مثال: var/export)"
"(For US 2-letter state names)","(نام‌های ایالت 2 حرفی برای ایالات متحده)"
"(If left empty will be auto-generated)","(اگر خالی باقی مانده بود به صورت خودکار تولید خواهد شد)"
"(Leave empty for first spreadsheet)","(برای اولین صفحه گسترده خالی باقی بگذارید)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(اگر ستون ‘فروشگاه’ در فایل ورودی نوشته نشده یا از دست رفته است، محصولات برای این فروشگاه اضافه/به روز خواهند شد.)"
"(Shift-)Click or drag to change value","برای تغییر مقدار (Shift-(Click یا درگ کنید"
"(Starting with)","(شروع با)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(در صورت ‘خیر’ بودن تنها فیلدهای نگاشته شده وارد خواهند شد. هنگام مسیر دهی، 'column1', 'column2' و غیره را به کار ببرید.)"
"(You have to increase php memory_limit before changing this value)","(شما باید پیش از تغییر دادن این مقدار memory_limit را در php افزایش دهید)"
"(\\t for tab)","(\\t برای تب)"
"- Click on any of the time parts to increase it","- برای افزایش دادن هر یک از بخش‌های زمان بر روی آن کلیک کنید"
"- Hold mouse button on any of the above buttons for faster selection.","- برای انتخاب سریع‌تر کلیک موس را بر روی هر یک از دکمه‌های فوق نگه دارید."
"- Use the %s buttons to select month","- برای انتخاب ماه دکمه‌های %s را به کار ببرید"
"- Use the %s, %s buttons to select year","- برای انتخاب سال دکمه‌های %s, %s را به کار ببرید"
"- or Shift-click to decrease it","- یا Shift-click کنید تا آن را کاهش دهید"
"- or click and drag for faster selection.","- یا برای انتخاب سریع‌تر آن کلیک و درگ کنید."
"-- Please Select Billing Agreement--","-- لطفا قرارداد صدور صورت حساب را انتخاب نمایید--"
"About the calendar","درباره‌ی تقویم"
"Access denied.","دسترسی ممنوع شده."
"Account Created in:","حساب ایجاد شده در:"
"Account Created on (%s):","حساب ایجاد شده بر روی (%s):"
"Account Created on:","حساب ایجاد شده بر روی:"
"Action","کـنـش"
"Actions","کنش‌ها"
"Add Author","افزودن نویسنده"
"Add Contents Path","افزودن مسیر محتویات"
"Add Field with URL:","افزودن فیلد با URL:"
"Add New Role","افزودن وظیفه‌ی جدید"
