"-- Select --","-- انتخاب --"
"Add New Option","افزودن گزینه‌ی جدید"
"Add Selection","افزودن انتخاب"
"As Low as","از حداقل"
"As low as","از حداقل"
"Bundle Items","آیتم‌های دسته"
"Bundle Product","محصول دسته"
"Buy %1$s with %2$s discount each","خرید %1$s تا با %2$s تخفیف برای هر یک"
"Catalog Product View (Bundle)","مشاهده‌ی محصول کاتالوگ (بسته‌ای)"
"Checkbox","چک‌باکس"
"Choose a selection...","برگزیدن یک انتخاب..."
"Close","بستن"
"Default","پیش فرض"
"Default Qty","تعداد پیش فرض"
"Default Title","عنوان پیش فرض"
"Drop-down","کشویی"
"Dynamic","پویا"
"Excl. Tax","بی مالیات"
"Fixed","ثابت"
"From","از"
"From:","از:"
"Gift Message","پیام هدیه"
"Incl. Tax","با مالیات"
"Input Type","نوع ورودی"
"Is Required","الزامی است"
"Message:","پیام:"
"Multiple Select","چند انتخابی"
"N/A","N/A"
"No options of this product are available.","هیچ گزینه‌ای از این محصول موجود نیست."
"None","هیچ یک"
"Percent","درصد"
"Percent Discount","درصد تخفیف"
"Please Select Products to Add","لطفا محصولات را برای افزودن انتخاب نمایید"
"Please enter search conditions to view products.","برای مشاهده‌ی محصولات لطفا شرایط جستجو را وارد نمایید."
"Please select options for product.","لطفا گزینه‌ها را برای محصول انتخاب نمایید."
"Please specify product option(s).","لطفا گزینه(ها)ی محصول را مشخص نمایید."
"Position","موقعیت"
"Price Range","بازه‌ی قیمت"
"Price Type","نوع قیمت"
"Price as configured","قیمت به عنوان پیکربندی شده"
"Qty:","تعداد:"
"Radio Buttons","دکمه‌های رادیویی"
"Required options are not selected.","گزینه‌های الزامی انتخاب نشده‌اند."
"Selected required options are not available.","گزینه‌های الزامی انتخاب شده موجود نیستند."
"Separately","جداگانه"
"Ship Bundle Items","ارسال آیتم‌های دسته"
"Shipment","محموله"
"Store View Title","عنوان نمای فروشگاه"
"There is no defined renderer for ""%s"" option type.","برای نوع گزینه‌ی ""%s"" رندر کننده‌ی تعریف شده‌ای وجود ندارد."
"This product is also part of bundle(s)","این محصول همچنین بخشی از بسته(ها) است"
"To","تا"
"To:","تا:"
"Together","با هم"
"User Defined Qty","تعداد تعریف شده‌ی کاربر"
