"# of Use","تعداد استفاده"
"%1$s incl tax.","%1$s با مالیات"
"%s - %s","%s - %s"
"%s Item(s)","%s آیتم"
"(%d)","(%d)"
"(Copy data from: %s)","(کپی داده از: %s)"
"(Will make search for the query above return results for this search.)","(جستجو برای جستار فوق نتایج را برای این جستجو برخواهد گرداند.)"
"* Required Fields","* فیلدهای الزامی"
"-- Please Select --","-- لطفا انتخاب نمایید --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","به طور پیش فرض 86400، وگرنه تنظیم کنید. برای رفرش فوری، کش خروجی بلاک‌های HTML را پاک کنید."
"A group with the same name already exists.","یک گروه با نام یکسان وجود دارد."
"A name is required","یک نام مورد نیاز است."
"A product type is not defined for the indexer.","نوع محصولی برای فهرست نویس تعریف نشده است."
"ALL GROUPS","همه‌ی گروه‌ها"
"AM","ق.ظ"
"Action","کـنـش"
"Add Attribute","افزودن ویژگی"
"Add Design Change","افزودن تغییر طرح"
"Add Group","افزودن گروه"
"Add New","افزودن جدید"
"Add New Attribute","افزودن ویژگی جدید"
"Add New Attribute Set","افزودن مجموعه ویژگی جدید"
"Add New Group","افزودن گروه جدید"
"Add New Images","افزودن تصاویر جدید"
"Add New Option","افزودن گزینه‌ی جدید"
"Add New Row","افزودن سطر جدید"
"Add New Search Term","افزودن عبارت جستجوی جدید"
"Add New Set","افزودن مجموعه‌ی جدید"
"Add Product","افزودن محصول"
"Add Product To Websites","افزودن محصول به وب‌سایت"
"Add Root Category","افزودن رده‌ی ریشه"
"Add Subcategory","افزودن زیررده"
"Add Tax","افزودن مالیات"
"Add Tier","افزودن ردیف"
"Add to Cart","افزودن به سبد"
"Add to Compare","افزودن به مقایسه"
"Add to Wishlist","افزودن به لیست دلخواه"
"Additional Information","اطلاعات اضافی"
"Alert Urls","هشدار URLها"
"All","همه"
"All Product Types","همه‌ی انواع محصول"
"All Websites","همه‌ی وب‌سایت‌ها"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","همه‌ی محصولات این مجموعه حذف خواهند شد. شما مطمئن‌اید که می‌خواهید این مجموعه ویژگی را حذف کنید؟"
"Allow All Products per Page","اجازه‌ی همه‌ی محصولات بر صفحه"
"Allow Dynamic Media URLs in Products and Categories","اجازه‌ی URLهای مدیای پویا در محصولات و رده‌ها"
"Allow HTML Tags on Frontend","اجازه‌ی برچسب‌های HTML در فرانت‌اند"
"Allowed File Extensions","انواع فایل‌های مجاز"
"Allowed file extensions to upload","انواع فایل‌های مجاز برای آپلود"
"An error occurred while adding customers for the %s alert. Message: %s","یک خطا در حین افزودن مشتریان برای هشدار %s رخ داد. پیام: %s"
"An error occurred while adding products to websites.","یک خطا در حین افزودن محصولات به وب‌سایت‌ها رخ داد."
"An error occurred while clearing comparison list.","یک خطا در حین پاک‌سازی لیست مقایسه رخ داد."
"An error occurred while removing products from websites.","یک خطا در حین برداشتن محصولات از وب‌سایت‌ها رخ داد."
"An error occurred while saving the URL rewrite.","یک خطا در حین ذخیره‌ی بازنویسی URL رخ داد."
"An error occurred while saving the attribute set.","یک خطا در حین ذخیره‌ی مجموعه ویژگی رخ داد."
"An error occurred while saving the collection, aborting. Error message: %s","یک خطا در حین ذخیره‌ی مجموعه رخ داد، متوقف می‌شود. پیام خطا: %s"
"An error occurred while saving the product. ","یک خطا در حین ذخیره‌ی محصول رخ داد. "
"An error occurred while saving the search query.","یک خطا در حین ذخیره‌ی جستار جستجو رخ داد."
"An error occurred while saving this group.","یک خطا در حین ذخیره‌ی این گروه رخ داد."
"An error occurred while trying to delete the category.","یک خطا در حین تلاش برای حذف رده رخ داد."
