"%s was added to your shopping cart.","%s به سبد خریدتان افزوده شد."
"* Required Fields","* فیلدهای الزامی"
"Add New Address","افزودن آدرس جدید"
"Add New Condition","افزودن شرط جدید"
"Add to Cart","افزودن به سبد"
"Add to Compare","افزودن به مقایسه"
"Add to Wishlist","افزودن به لیست دلخواه"
"Address","آدرس"
"Address %s of %s","آدرس %s از %s"
"After Adding a Product Redirect to Shopping Cart","هدایت مجدد به سبد خرید پس از افزودن یک محصول"
"Allow Guest Checkout","اجازه‌ی تسویه‌ی مهمان"
"Already registered?","قبلا نام نویسی شده؟"
"An error occurred in the process of payment","رخ داد یک خطا در فرایند پرداخت"
"An error occurred while deleting this condition.","یک خطا در حین حذف این شرط رخ داد."
"An error occurred while saving this condition.","یک خطا در حین ذخیره‌ی این شرط رخ داد."
"Apply Coupon","اعمال کوپن"
"Are you sure you would like to remove this item from the shopping cart?","شما مطمئن‌اید که به برداشتن این آیتم از سبد خرید مایلید؟"
"Back","بازگشت"
"Back to Billing Information","بازگشت به اطلاعات صورت حساب"
"Back to Select Addresses","بازگشت به انتخاب آدرس‌ها"
"Back to Shipping Information","بازگشت به اطلاعات ارسال"
"Back to Shopping Cart","بازگشت به سبد خرید"
"Based on your selection, you may be interested in the following items:","بر مبنای انتخاب‌تان، شما ممکن است به آیتم‌های زیر علاقمند باشید:"
"Billing Address","آدرس صورت حساب"
"Billing Information","اطلاعات صورت حساب"
"Billing Information - %s","اطلاعات صورت حساب - %s"
"Cancel Coupon","لغو کوپن"
"Cannot add item to the shopping cart.","نمی‌توان آیتمی را به سبد خرید افزود."
"Cannot add the item to shopping cart","نمی‌توان آیتم را به سبد خرید افزود"
"Cannot add the item to shopping cart.","نمی‌توان آیتم را به سبد خرید افزود."
"Cannot apply the coupon code.","نمی‌توان کد کوپن را اعمال کرد."
"Cannot open the overview page","نمی‌توان صفحه‌ی بازنگری را باز کرد"
"Cannot remove the item.","نمی‌توان این آیتم را برداشت."
"Cannot update shopping cart.","نمی‌توان سبد خرید را به روز کرد."
"Card Verification Number Visual Reference","ارجاع دیداری شماره‌ی امنیتی کارت"
"Cart Subtotal:","جمع جز سبد:"
"Change","تغییر"
"Change Billing Address","تغییر آدرس صورت حساب"
"Checkbox Text","متن چک‌باکس"
"Checkout","تسویه"
"Checkout Conditions","شرایط تسویه"
"Checkout Method","روش تسویه"
"Checkout Options","گزینه‌های تسویه"
"Checkout Section","بخش تسویه"
"Checkout Terms and Conditions","شرایط و ضوابط تسویه"
"Checkout as Guest","تسویه به عنوان مهمان"
"Checkout as a Guest or Register","تسویه‌ی مهمان یا نام نویسی"
"Checkout with Multiple Addresses","تسویه با چندین آدرس"
"City","شهر"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","<a href=""%s"" onclick=""this.target=\'_blank\'"">اینجا را برای چاپ </a> یک کپی از تاییدیه‌ی سفارش‌تان کلیک کنید."
"Click <a href=""%s"">here</a> to continue shopping.","برای ادامه‌ی خرید <a href=""%s"">اینجا</a> کلیک کنید."
"Close","بستن"
"Company","شرکت"
"Condition Name","نام شرط"
"Configurable Product Image","تصویر محصول قابل پیکربندی"
"Confirm Password","تایید گذرواژه"
"Content","محتوا"
"Content Height","بلندی محتوا"
"Content Height (css)","بلندی محتوا (css)"
"Continue","ادامه"
"Continue Shopping","ادامه‌ی خرید"
"Continue to Billing Information","ادامه به اطلاعات صورت حساب"
"Continue to Review Your Order","ادامه به بازبینی سفارش‌تان"
"Continue to Shipping Information","ادامه به اطلاعات ارسال"
"Country","کشور"
"Coupon code ""%s"" is not valid.","کد کوپن "" %s"" معتبر نیست."
"Coupon code ""%s"" was applied.","کد کوپن "" %s"" اعمال شد."
"Coupon code was canceled.","کد کوپن لغو شد."
"Create Billing Address","ایجاد آدرس صورت حساب"
"Create Shipping Address","ایجاد آدرس ارسال"
"Data saving problem","مشکل ذخیره سازی داده"
"Default Billing","صورت حساب پیش فرض"
"Default Shipping","ارسال پیش فرض"
"Delete Condition","حذف شرط"
"Details","جزییات"
"Disabled","ناممکن‌شده"
"Discount Codes","کدهای تخفیف"
"Display Cart Summary","نمایش خلاصه‌ی سبد"
"Display Shopping Cart Sidebar","نمایش نوارکناری سبد خرید"
"Display item quantities","نمایش مقادیر آیتم"
"Display number of items in cart","نمایش تعداد آیتم‌ها در سبد"
"Easy access to your order history and status","دسترسی آسان به پیشینه و وضعیت سفارش‌تان"
"Edit","ویرایش"
"Edit Address","ویرایش آدرس"
"Edit Billing Address","ویرایش آدرس صورت حساب"
"Edit Items","ویرایش آیتم‌ها"
"Edit Shipping Address","ویرایش آدرس ارسال"
"Edit Terms and Conditions","ویرایش شرایط و ضوابط"
"Edit Your Cart","ویرایش سبدتان"
"Email Address","آدرس ایمیل"
"Enable Onepage Checkout","تسویه‌ی تک صفحه‌ای ممکن"
"Enable Terms and Conditions","شرایط و ضوابط ممکن"
"Enabled","ممکن‌شده"
"Enter a New Address","ثبت یک آدرس جدید"
"Enter your coupon code if you have one.","اگر کد کوپنی دارید، آن را وارد نمایید."
"Enter your destination to get a shipping estimate.","برای براورد هزینه‌ی ارسال، مقصدتان را وارد نمایید."
"Estimate Shipping and Tax","براورد ارسال و مالیات"
"Excl. Tax","بی مالیات"
"Fast and easy check out","تسویه‌ی سریع و آسان"
"Fax","فکس"
"Forgot an Item?","فراموشی یک آیتم؟"
"Forgot your password?","گذرواژه‌تان را فراموش کرده‌اید؟"
"Get a Quote","براورد هزینه"
"Grand Total:","جمع کل نهایی:"
"Grouped Product Image","تصویر محصول گروه شده"
"HTML","HTML"
"ID","شناسه"
"Incl. Tax","با مالیات"
"Invalid method: %s","روش نامعتبر: %s"
"Item not found or already ordered","آیتم یافت نشد یا پیش از این سفارش داده شده"
"Items","آیتم‌ها"
"Load customer quote error","خطای بارگذاری براورد هزینه‌ی مشتری"
"Loading next step...","بارگذاری مرحله‌ی بعدی..."
"Login","ورود"
"Manage Checkout Terms and Conditions","مدیریت شرایط و ضوابط تسویه"
"Maximum Display Recently Added Item(s)","بیشینه‌ی نمایش آیتم(های) اخیرا افزوده شده"
"Maximum qty allowed for Shipping to multiple addresses is %s","بیشینه تعداد مجاز برای ارسال به چندین آدرس %s است"
"Move to Wishlist","جابجایی به لیست دلخواه"
"Multishipping Checkout","تسویه‌‌ی چند ارسالی"
"Multishipping Checkout Address (Any) Form","فرم (هر) آدرس تسویه‌‌ی چند ارسالی"
"Multishipping Checkout Billing Address Creation","ایجاد آدرس صورت حساب تسویه‌‌ی چند ارسالی"
"Multishipping Checkout Billing Address Edit Form","ویرایش فرم آدرس صورت حساب تسویه‌‌ی چند ارسالی"
"Multishipping Checkout Billing Address Selection","انتخاب آدرس صورت حساب تسویه‌‌ی چند ارسالی"
"Multishipping Checkout Billing Information Step","مرحله‌ی اطلاعات صورت حساب تسویه‌‌ی چند ارسالی"
"Multishipping Checkout Customer Address Edit Form","ویرایش فرم آدرس مشتری تسویه‌‌ی چند ارسالی"
"Multishipping Checkout Overview","بازنگری تسویه‌ی چند ارسالی"
"Multishipping Checkout Shipping Address Creation","ایجاد آدرس ارسال تسویه‌ی چند ارسالی"
"Multishipping Checkout Shipping Address Edit Form","ویرایش فرم آدرس ارسال تسویه‌ی چند ارسالی"
"Multishipping Checkout Shipping Address Selection","انتخاب آدرس ارسال تسویه‌ی چند ارسالی"
"Multishipping Checkout Shipping Information Step","مرحله‌ی اطلاعات ارسال تسویه‌ی چند ارسالی"
"Multishipping Checkout Success","موفقیت تسویه‌ی چند ارسالی"
"My Cart","سبد من"
"My Cart (%s item)","سبد من (%s آیتم)"
"My Cart (%s items)","سبد من (%s آیتم)"
"My Cart Link","لینک سبد من"
"New Address","آدرس جدید"
