"Collected Files Count","شمارش فایل‌های گردآوری شده"
"Compilation","گردآوری"
"Compilation State","حالت گردآوری"
"Compilation error","خطای گردآوری"
"Compiled","گردآوری شده"
"Compiled Scopes Count","شمارش دامنه‌های گردآوری شده"
"Compiler Status","وضعیت گردآورنده"
"Compiler include path is disabled.","گردآورنده‌ی شامل مسیر ناممکن شده است."
"Compiler include path is enabled.","گردآورنده‌ی شامل مسیر ممکن شده است."
"Directory ""%s"" must be writeable","دایرکتوری ""%s"" باید قابل نوشتن باشد"
"Disable","ناممکن"
"Disabled","ناممکن‌شده"
"Enable","ممکن"
"Enabled","ممکن‌شده"
"File ""%s"" must be writeable","فایل ""%s"" باید قابل نوشتن باشد"
"Not Compiled","گردآوری نشده"
"Run Compilation Process","اجرای فرایند گردآوری"
"Scopes Compilation Settings","تنظیمات گردآوری دامنه‌ها"
"System","سیستم"
"The compilation has completed.","گردآوری کامل شد."
"Tools","ابزارها"
