"* Required Fields","* فیلدهای الزامی"
"Comment","توضیح"
"Contact Form","فرم تماس"
"Contact Information","اطلاعات تماس"
"Contact Us","تماس با ما"
"Contact Us Form","فرم تماس با ما"
"Contacts","تماس‌ها"
"Contacts Section","بخش تماس‌ها"
"Email","ایمیل"
"Email Options","گزینه‌های ایمیل"
"Email Sender","فرستنده‌ی ایمیل"
"Email Template","قالب ایمیل"
"Enable Contact Us","تماس با ما ممکن"
"Name","نام"
"Send Emails To","ارسال ایمیل‌ها به"
"Submit","ارایه"
"Telephone","تلفن"
"Unable to submit your request. Please, try again later","ناتوان در ارایه‌ی درخواست‌تان. لطفا، بعدا دوباره سعی نمایید"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","درخواست شما ارایه گردید و به زودی به آن پاسخ داده خواهد شد. از شما برای برقراری ارتباط با ما سپاس گذاریم."
