"%s","%s"
"%s already exist.","%s وجود دارند."
"%s already exists.","%s وجود دارد."
"-- Please Select --","-- لطفا انتخاب نمایید --"
"A category object is required for determining the product request path.","یک شی رده برای تعیین کردن مسیر درخواستی محصول لازم است."
"Add Block Names to Hints","افزودن نام‌های بلاک به اشاره‌ها"
"Add Secret Key to URLs","افزودن کلید رمز به URLها"
"Add Store Code to Urls","افزودن کد فروشگاه به Urlها"
"Admin","مدیر"
"Admin Base URL","URL مبنای مدیریت"
"Admin User Emails","ایمیل‌های کاربران مدیر"
"Advanced","پیشرفته"
"Allow Countries","اجازه‌ی کشورها"
"Allowed IPs (comma separated)","IPهای مجاز (جدا شده با کاما)"
"Allows customers to stay logged in when switching between different stores.","به مشتریان اجازه بده هنگام جابجایی بین فروشگاه‌های متفاوت وارد شده باقی بمانند."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","متن متناوب برای لینک بعدی در منوی صفحه بندی. اگر خالی بود، تصویر جهت پیش فرض استفاده خواهد شد."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","متن متناوب برای لینک قبلی در منوی صفحه بندی. اگر خالی بود، تصویر جهت پیش فرض استفاده خواهد شد."
"An error occurred while saving. Please review the error log.","یک خطا در حین ذخیره سازی رخ داد. لطفا گزارش خطا را بازبینی نمایید."
"Anchor Text for Next","متن مرجع برای بعدی"
"Anchor Text for Previous","متن مرجع برای قبلی"
"Are you sure?","شما مطمئن‌اید؟"
"Back","بازگشت"
"Backup Options","گزینه‌های پشتیبان"
"Base JavaScript URL","URL مبنای JavaScript"
"Base Link URL","URL مبنای لینک"
"Base Media URL","URL مبنای مدیا"
"Base Skin URL","URL مبنای پوسته"
"Base URL","URL مبنا"
"Before modifying the store view code please make sure that it is not used in index.php.","پیش از تغییر دادن کد نمای فروشگاه لطفا مطمئن شوید که آن در index.php استفاده نشده است."
"Before modifying the website code please make sure that it is not used in index.php.","پیش از تغییر دادن کد وب‌سایت لطفا مطمئن شوید که آن در index.php استفاده نشده است."
"Block with name ""%s"" already exists","بلاکی با نام ""%s"" وجود دارد"
"Browser Capabilities Detection","تشخیص قابلیت‌های مرورگر"
"CSS Settings","تنظیمات CSS"
"Cache Storage Management","مدیریت مخزن کش"
"Cache storage may contain another data. Are you sure that you want flush it?","مخزن کش ممکن است حاوی داده‌ی دیگری باشد. شما مطمئن‌اید که می‌خواهید آن را تخلیه کنید؟"
"Can't retrieve request object","نمی‌توان شی درخواستی را بازیابی کرد"
"Cancel","لغو"
"Cannot complete this operation from non-admin area.","نمی‌توان این عملکرد را از ناحیه‌ی غیر مدیریت کامل کرد."
"Cannot retrieve entity config: %s","نمی‌توان پیکربندی موجودیت را بازیابی کرد: %s"
"Card type does not match credit card number","نوع کارت با شماره‌ی کارت اعتباری مطابق نیست"
"Code","کد"
"Controller file was loaded but class does not exist","فایل کنترل کننده بارگذاری شد اما کلاس وجود ندارد"
"Cookie Domain","دامنه‌ی کوکی"
"Cookie Lifetime","طول عمر کوکی"
"Cookie Path","مسیر کوکی"
"Copyright","حق نشر"
"Countries Options","گزینه‌های کشورها"
"Create Store","ایجاد فروشگاه"
"Create Store View","ایجاد نمای فروشگاه"
"Create Website","ایجاد وب‌سایت"
"Credit card number does not match credit card type","شماره‌ی کارت اعتباری با نوع کارت اعتباری مطابق نیست"
"Current Package Name","نام بسته‌ی جاری"
"Custom Admin URL","URL مدیریت سفارشی"
"Custom Design","طرح سفارشی"
"Custom Email 1","ایمیل سفارشی 1"
"Custom Email 2","ایمیل سفارشی 2"
"Custom Variables","متغیرهای سفارشی"
"Customer Support","پشتیبانی سفارشی"
"Date From","تاریخ از"
"Date To","تاریخ تا"
"Date/time format ""%s"" is not supported.","ساختار تاریخ/زمان ""%s"" پشتیبانی شده نیست."
"Debug","اشکال زدایی"
"Default","پیش فرض"
"Default Country","کشور پیش فرض"
"Default Description","توصیف پیش فرض"
"Default Keywords","کلمات کلیدی پیش فرض"
"Default No-route URL","URL بی مسیر پیش فرض"
"Default Pages","صفحات پیش فرض"
"Default Robots","روبوت‌های پیش فرض"
"Default Store","فروشگاه پیش فرض"
"Default Store View","نمای فروشگاه پیش فرض"
"Default Title","عنوان پیش فرض"
"Default Web URL","URL وب پیش فرض"
"Delete","حذف"
"Delete Store","حذف فروشگاه"
"Delete Store View","حذف نمای فروشگاه"
"Delete Website","حذف وب‌سایت"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","حذف یک %1$s اطلاعات وابسته شده با %1$s را حذف نخواهد کرد (برای مثال رده‌ها، محصولات و غیره)، اما %1$s قادر به برگردانده شدن نخواهد بود. به شما پیشنهاد می‌شود که پیش از حذف %1$s یک پشتیبان از پایگاه‌داده ایجاد کنید."
"Design","طراحی"
"Design Change","تغییر طرح"
"Developer","گسترش دهنده"
"Developer Client Restrictions","محدودیت‌های کاربری گسترش دهنده"
"Disable Email Communications","ارتباطات ایمیلی ناممکن"
"Disable Modules Output","خروجی ماژول‌ها ناممکن"
"Display Demo Store Notice","نمایش اخطار نمونه‌ی نمایشی فروشگاه"
"Duplicate Of Template Name","تکثیر نام قالب"
"Edit Design Change","ویرایش تغییر طرح"
"Edit Store","ویرایش فروشگاه"
"Edit Store View","ویرایش نمای فروشگاه"
"Edit Website","ویرایش وب‌سایت"
"Empty identifier field name","نام فیلد شناسه‌ی خالی"
"Empty main table name","نام جدول اصلی خالی"
"Enable Prototype Deprecation Log","ممکن بودن گزارش عدم تصویب نمونه‌ی اولیه"
"Enabled","ممکن‌شده"
"Enabled for Admin","ممکن شده برای مدیریت"
"Enabled for Frontend","ممکن شده برای فرانت‌اند"
"Error in file: ""%s"" - %s","خطا در فایل: ""%s"" - %s"
"Error: Passwords do not match","خطا: گذرواژه‌ها مطابق نیستند"
"Exceptions Log File Name","نام فایل گزارش استثناها"
"First Day of Week","اولین روز هفته"
"Flush Cache Storage","تخلیه‌ی مخزن کش"
"Flush Magento Cache","تخلیه‌ی کش مجنتو"
"Footer","فوتر"
"Forgot Password Email Sender","فرستنده‌ی ایمیل گذرواژه‌ی فراموش شده"
"Forgot Password Email Template","قالب ایمیل گذرواژه‌ی فراموش شده"
"General","عمومی"
"General Contact","تماس عمومی"
"General Settings","تنظیمات عمومی"
"Global","سراسری"
"HTML Head","ابتدای HTML"
"Header","هدر"
"Host","هاست"
"How many links to display at once.","تعداد لینک‌ها برای نمایش در یک بار."
"ID Path for Specified Store","مسیر شناسه برای فروشگاه مشخص شده"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","اگر موقعیت فریم جاری بیشترین صفحات را پوشش نمی دهد، لینک به موقعیت جاری باضافه/منهای این مقدار رندر خواهد شد."
"Incorrect credit card expiration date","تاریخ انقضای نادرست کارت اعتباری"
"Invalid base url type","نوع url مبنای نامعتبر"
"Invalid block name to set child %s: %s","نام بلاک نامعتبر برای تنظیم ولد %s: %s"
"Invalid block type: %s","نوع بلاک نامعتبر: %s"
"Invalid block: %s","بلاک نامعتبر: %s"
"Invalid layout update handle","کنترل به روز رسانی نامعتبر"
"Invalid messages storage ""%s"" for layout messages initialization","مخزن پیام‌های نامعتبر ""%s"" برای آرایش مقداردهی اولیه‌ی پیام‌ها"
"Invalid transactional email code: ","کد ایمیل‌ تراکنش نامعتبر: "
"Invalid website\'s configuration path: %s","مسیر پیکربندی وب‌سایت نامعتبر: %s"
"JavaScript Settings","تنظیمات JavaScript"
"Layout","آرایش"
"Leave empty for access from any location.","برای دسترسی از هر مکانی خالی بگذارید."
"Locale","محلی"
"Locale Options","گزینه‌های محلی"
"Log Settings","تنظیمات ثبت وقایع"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","در حال ثبت وقایع از Mage::log(). فایل در {{base_dir}}/var/log قرار گرفته است."
