"* Required Fields","* فیلدهای الزامی"
"A new password has been sent.","یک گذرواژه‌ی جدید ارسال شد."
"ALL GROUPS","همه‌ی گروه‌ها"
"Account Dashboard","داشبورد حساب"
"Account Information","اطلاعات حساب"
"Account Sharing Options","گزینه‌های تسهیم حساب"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","تایید حساب لازم است. لطفا، ایمیل‌تان را برای لینک تاییدیه بررسی نمایید. برای فرستادن مجدد ایمیل تایید لطفا <a href=""%s"">اینجا را کلیک کنید </a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","تایید حساب لازم است. لطفا، ایمیل‌تان را برای لینک تاییدیه بررسی نمایید. برای فرستادن مجدد ایمیل تایید لطفا <a href=""%s"">اینجا را کلیک کنید </a>."
"Action","کـنـش"
"Add New Address","افزودن آدرس جدید"
"Add New Customer","افزودن مشتری جدید"
"Add New Customer Group","افزودن گروه مشتری جدید"
"Added From","افزوده شده از"
"Additional Address Entries","عناصر آدرس اضافی"
"Address","آدرس"
"Address Book","کتاب آدرس"
"Address Books","کتاب‌های آدرس"
"Address Information","اطلاعات آدرس"
"Addresses","آدرس‌ها"
"Admin","مدیر"
"All","همه"
"All Store Views","همه‌ی نماهای فروشگاه"
"All countries","همه‌ی کشورها"
"Always optional.","همیشه اختیاری."
"Amount","مبلغ"
"An error occurred while deleting the address.","یک خطا در حین حذف آدرس رخ داد."
"An error occurred while retrieving the option value: %s.","یک خطا رخ داد در حین بازیابی مقدار گزینه: %s."
"An error occurred while saving the collection, aborting. Error: %s","یک خطا در حین ذخیره سازی مجموعه رخ داد، متوقف می‌شود. خطا: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","یک شناسه‌ی گزینه‌ی نامعتبر برای %s (%s) مشخص شده است، درحال پرش از رکورد."
"Approved","تایید شده"
"Are you sure that you want to remove this item?","شما مطمئن‌اید که می خواهید این آیتم را بردارید؟"
