" There was an error occurred during paying process."," یک خطای رخ داده در طی فرایند پرداخت وجود داشت."
"An error has occured","یک خطا رخ داد"
"An error occurred during the payment process.","یک خطا در طی فرایند پرداخت رخ داد."
"Bank","بانک"
"Credit Mutuel","Credit Mutuel"
"Customer Interface language","زبان واسط مشتری"
"Customer has returned from Cybermut.","مشتری از Cybermut بازگشت."
"Customer was redirected to Cybermut","مشتری به Cybermut هدایت شد"
"Debug","اشکال زدایی"
"Dutch","هلندی"
"Enabled","ممکن‌شده"
"English","انگلیسی"
"French","فرانسوی"
"German","آلمانی"
"Groupe CIC","گروه CIC"
"Italian","ایتالیایی"
"Key","کلید"
"New Order Status","وضعیت سفارش جدید"
"OBC","OBC"
"Order #%s","سفارش شماره‌ی %s"
"Order number will be used if left empty.","اگر خالی بگذارید شماره‌ی سفارش استفاده خواهد شد."
"Payment from Applicable Countries","پرداخت از کشورهای مناسب"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Returned MAC is invalid. Order cancelled.","MAC برگردانده شده نامعتبر است. سفارش لغو شد."
"SHA Key","کلید SHA"
"Site Code","کد سایت"
"Sort Order","ترتیب ردیف"
"Spain","اسپانیایی"
"TPE Number","شماره‌ی TPE"
"Test Mode","حالت آزمایشی"
"The customer successfully returned from Cybermut.","مشتری با موفقیت از Cybermut بازگردانده شد."
"Title","عنوان"
"Transaction Description","توصیف تراکنش"
"You will be redirected to Cybermut in a few seconds.","شما در چند ثانیه‌ی کوتاه به Cybermut هدایت خواهید شد."
"You will be redirected to Cybermut website when you place an order.","هنگامی که شما سفارشی بدهید به وب‌سایت Cybermut هدایت خواهید شد."
