"Authorization","تصویب"
"Card Verification Number","شماره‌ی امنیتی کارت"
"Credit Card Number","شماره‌ی کارت اعتباری"
"Credit Card Number: xxxx-%s","شماره‌ی کارت اعتباری: xxxx-%s"
"Credit Card Type","نوع کارت اعتباری"
"Credit Card Type: %s","نوع کارت اعتباری: %s"
"Credit Card Types","انواع کارت اعتباری"
"Credit Card Verification","تایید کارت اعتباری"
"Cybersource (SOAP Toolkit)","Cybersource (SOAP Toolkit)"
"Debug","اشکال زدایی"
"Enabled","ممکن‌شده"
"Error in refunding the payment.","خطا در استرداد پرداخت."
"Expiration Date","تاریخ انقضا"
"Gateway request error: %s","خطای درخواست گذرگاه: %s"
"Invalid transaction id or token","شناسه یا نشانه‌ی تراکنش نامعتبر"
"Issue Number","شماره‌ی صدور"
"JCB","JCB"
"Laser","Laser"
"Maestro (International)","Maestro (جهانی)"
"Maestro/Solo(UK Domestic)","Maestro/Solo (بومی بریتانیای بزرگ)"
"Merchant ID","شناسه‌ی فروشنده"
"Name on Card","نام روی کارت"
"Name on the Card: %s","نام روی کارت: %s"
"New Order Status","وضعیت سفارش جدید"
"Payment Action","کنش پرداخت"
"Payment from Applicable Countries","پرداخت از کشورهای مناسب"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"SOAP extension is not enabled. Please contact us.","اکستنشن SOAP ممکن نیست. لطفا با ما تماس بگیرید."
"Sale","فروش"
"Security Key","کلید امنیتی"
"Sort Order","ترتیب ردیف"
"Start Date","تاریخ شروع"
"Switch/Solo/Maestro(UK Domestic) Only","تنها Switch/Solo/Maestro (بومی بریتانیای بزرگ)"
"Switch/Solo/Maestro(UK Domestic) card issue number: %s","شماره‌ی صدور Switch/Solo/Maestro کارت (بومی بریتانیای بزرگ): %s"
"Switch/Solo/Maestro(UK Domestic) card start Date: %s/%s","تاریخ شروع Switch/Solo/Maestro کارت (بومی بریتانیای بزرگ): %s/%s"
"Test Mode","حالت آزمایشی"
"There is an error in processing the payment. Please try again or contact us.","یک خطا در پردازش پرداخت وجود دارد. لطفا دوباره سعی نمایید یا با ما تماس بگیرید."
"Title","عنوان"
"UATP","UATP"
"What is this?","این چیست؟"
"Year","سال"
