"<a href=""%s"" target=""_blank"">Link</a>","<a href=""%s"" target=""_blank"">لینک</a>"
"Access denied to destination folder ""%s"".","دسترسی به پوشه‌ی مقصد ""%s"" ممنوع شده."
"An error occurred while opening file: ""%s"".","یک خطا رخ داد در حین بازکردن فایل: ""%s""."
"Could not load file: ""%s"".","فایل نتوانست لود شود: ""%s""."
"Could not save file: %s.","فایل نتوانست ذخیره شود: %s."
"Declared adapter %s was not found.","وفق دهنده‌ی %s بیان شده یافت نشد."
"Destination folder ""%s"" does not exist or there is no access to create it.","پوشه‌ی مقصد ""%s"" وجود ندارد یا دسترسی‌ای برای ایجاد آن نیست."
"Destination folder ""%s"" is not a directory.","پوشه‌ی مقصد ""%s"" یک دایرکتوری نیست."
"Destination folder ""%s"" is not writable.","پوشه‌ی مقصد ""%s"" قابل نوشتن نیست."
"Done","انجام شد"
"Dry run set, stopping execution.","تنظیم اجرای آزمایشی، توقف اکستنشن."
"ETA: %s","زمان تقریبی ورود: %s"
"Error in field mapping: field list for mapping is not defined.","خطا در فیلد مپینگ: لیست فیلد برای نگاشتن تعریف نشده است."
"File ""%s"" does not exist.","فایل ""%s"" وجود ندارد."
"Found %d rows.","%d سطر یافت شد."
"Less than a minute","کمتر از یک دقیقه"
"Loaded successfully: ""%s"".","با موفقیت بارگذاری شد: ""%s""."
"Memory Used: %s","حافظه‌ی استفاده شده: %s"
"Method ""%s"" not defined in adapter %s.","روش ""%s"" در وفق دهنده‌ی %s تعریف شده نیست."
"Method ""%s"" was not defined in adapter %s.","روش ""%s"" در وفق دهنده‌ی %s تعریف نشده بود."
"Please declare ""adapter"" and ""method"" nodes first.","لطفا ابتدا گره‌های ""وفق دهنده"" و ""روش"" را بیان نمایید."
"Processed records: %s","رکوردهای پردازش شده: %s"
"Saved successfully: ""%s"" [%d byte(s)].","با موفقیت ذخیره شد: ""%s"" [%d بایت]."
"Sheet 1","برگ 1"
"Skip undefined row.","پرش از سطر تعریف نشده."
"Starting %s :: %s","شروع %s :: %s"
"The destination folder ""%s"" does not exist or there is no access to create it.","پوشه‌ی مقصد ""%s"" وجود ندارد یا دسترسی‌ای برای ایجاد آن نیست."
"Total records: %s","مجموع رکوردها: %s"
"hour","ساعت"
"hours","ساعت"
"minute","دقیقه"
"minutes","دقیقه"
