"Account Number","شماره‌ی حساب"
"Card Verification Number","شماره‌ی امنیتی کارت"
"Credit Card Number","شماره‌ی کارت اعتباری"
"Credit Card Number: xxxx-%s","شماره‌ی کارت اعتباری: xxxx-%s"
"Credit Card Type","نوع کارت اعتباری"
"Credit Card Type: %s","نوع کارت اعتباری: %s"
"Credit Card Types","انواع کارت اعتباری"
"Credit Card Verification","تایید کارت اعتباری"
"Debug Flag","نشانه‌ی اشکال زدایی"
"Demo Mode","سبک نمونه‌ی نمایشی"
"Enabled","ممکن‌شده"
"Expiration Date","تاریخ انقضا"
"Flo2Cash Payment Web Service","سرویس وب پرداخت Flo2Cash"
"For ""Authorize"" or ""Capture"" transactions only.","تنها برای تراکنش‌های "" تصویب کردن"" یا ""ضبط""."
"For ""Purchase"" transactions only.","تنها برای تراکنش‌های "" Purchase""."
"Name on Card","نام روی کارت"
"Name on the Card: %s","نام روی کارت: %s"
"New Order Status","وضعیت سفارش جدید"
"Password","گذرواژه"
"Payment Action","کنش پرداخت"
"Payment from Applicable Countries","پرداخت از کشورهای مناسب"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Please Select","لطفا انتخاب نمایید"
"Sort Order","ترتیب ردیف"
"Title","عنوان"
"Username","نام کاربری"
"What is this?","این چیست؟"
