"Add","افزودن"
"Allow Gift Messages for Order Items","اجازه‌ی پیام‌های هدیه برای آیتم‌های سفارش"
"Allow Gift Messages on Order Level","اجازه‌ی پیام‌های هدیه در سطح سفارش"
"An error occurred while saving the gift message.","یک خطا در حین ذخیره سازی پیام هدیه رخ داد."
"Are you sure?","شما مطمئن‌اید؟"
"Check this checkbox if you want to add gift messages to your items.","اگر شما می‌خواهید به آیتم‌هایتان پیام‌های هدیه اضافه کنید این چک‌باکس را علامت بزنید."
"Check this checkbox if you want to add gift messages.","اگر شما می‌خواهید پیام‌های هدیه اضافه کنید این چک‌باکس را علامت بزنید."
"Do you have any gift items in your order?","آیا شما در سفارش‌تان هیچ آیتم هدیه‌ای دارید؟"
"Edit","ویرایش"
"Enter a gift message for each item in your order.","برای هر آیتم در سفارش‌تان یک پیام هدیه وارد نمایید."
"Enter a gift message for entire order.","برای تمام سفارش یک پیام هدیه وارد نمایید."
"Enter a gift message for this address.","برای این آدرس یک پیام هدیه وارد نمایید."
"From","از"
"Gift Messages","پیام‌های هدیه"
"Item %d of %d","آیتم %d از %d تا"
"Message","پیام"
"No","خیر"
"Save Gift Message","ذخیره‌ی پیام هدیه"
"The gift message has been removed","پیام هدیه برداشته شد"
"The gift message has been saved","پیام هدیه ذخیره شد"
"The gift message has been saved.","پیام هدیه ذخیره شد."
"To","به"
"Unknown entity type","نوع موجودیت ناشناخته"
"Use config","استفاده از پیکربندی"
"Yes","بلی"
"You can leave this box blank if you do not wish to add a gift message for the item.","اگر شما نمی‌خواهید برای آیتم پیام هدیه‌ای اضافه کنید می‌توانید این کادر را خالی بگذارید."
"You can leave this box blank if you do not wish to add a gift message for this address.","اگر شما نمی‌خواهید برای این آدرس پیام هدیه‌ای اضافه کنید می‌توانید این کادر را خالی بگذارید."
"You can leave this box blank if you do not wish to add a gift message for whole order.","اگر شما نمی‌خواهید برای کل سفارش پیام هدیه‌ای اضافه کنید می‌توانید این کادر را خالی بگذارید."
