"%s Index process is working now. Please try run this process later.","اکنون فرایند فهرست سازی %s در حال کار است. لطفا سعی کنید این فرایند را بعدا اجرا نمایید."
"%s index was rebuilt.","فهرست %s بازسازی شد."
"'%s' Index Process Information","اطلاعات فرایند فهرست '%s'"
"Action","کـنـش"
"Cannot initialize the indexer process.","ناتوان در مقداردهی اولیه‌ی فرایند فهرست نویس."
"Change Index Mode","تغییر مدل ویژگی"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","برای رفتن به <a href=""%s"">مدیریت کش </a> و رفرش کردن انواع کش اینجا را کلیک نمایید."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","برای رفتن به <a href=""%s"">مدیریت فهرست </a> و بازسازی فهرست‌های الزامی اینجا را کلیک نمایید."
"Description","توصیف"
"Disable","ناممکن"
"Enable","ممکن"
"General","عمومی"
"Index","فهرست"
"Index Description","توصیف فهرست"
"Index Management","مدیریت فهرست"
"Index Mode","مدل فهرست"
"Index Name","نام فهرست"
"Index mode","حالت فهرست"
"Indexer code is not defined.","کد فهرست نویس تعریف نشده است."
"Indexer model is not defined.","مدل فهرست نویس تعریف نشده است."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","مدل فهرست نویس باید Mage_Index_Model_Indexer_Abstract را توسعه دهد."
"Last Run","آخرین اجرا"
"Manual Update","به روز رسانی دستی"
"Mode","حالت"
"Never","هرگز"
"One or more of the Indexes are not up to date:","یکی یا بیشتر از فهرست‌ها به روز نیستند:"
"Pending Events","رویدادهای در انتظار"
"Please select Index(es)","لطفا فهرست(ها) را انتخاب نمایید"
"Please select Indexes","لطفا فهرست‌ها را انتخاب نمایید"
"Process Information","اطلاعات فرایند"
"Processing","پردازش"
"Ready","آماده"
"Refresh","رفرش"
"Reindex Data","دوباره فهرست سازی داده"
"Reindex Required","دوباره فهرست سازی الزامی"
"Status","وضعیت"
"System","سیستم"
"The index has been saved.","فهرست ذخیره شد."
"There was a problem with reindexing process.","وجود داشت یک مشکل با فرایند دوباره فهرست سازی."
"There was a problem with saving process.","وجود داشت یک مشکل با فرایند ذخیره سازی."
"Total of %d index(es) have changed index mode.","در مجموع %d تا از فهرست(ها) حالت فهرست تغییر یافت."
"Total of %d index(es) have reindexed data.","در مجموع %d تا از فهرست(ها) داد دوباره فهرست سازی شد."
"Update on Save","به روز رسانی در ذخیره"
