" Copy"," کپی"
"<!-- This tag is for unsubscribe link  --> Follow this link to unsubscribe <a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","<!-- This tag is for unsubscribe link  --> برای لغو اشتراک این لینک را دنبال نمایید <a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Action","کـنـش"
"Add New Template","افزودن قالب جدید"
"Add to Queue","افزودن به صف"
"Allow Guest Subscription","اجازه‌ی اشتراک به مهمان"
"An error occurred while saving your subscription.","خطایی در حین ذخیره‌سازی اشتراک‌تان رخ داد."
"Are you sure that you want to delete this template?","شما مطمئن‌اید که می خواهید این قالب را حذف کنید؟"
"Are you sure that you want to strip all tags?","شما مطمئن‌اید که می خواهید همه‌ی تگ‌ها را بردارید؟"
"Back","بازگشت"
"Cancel","لغو"
"Cancelled","لغو شد"
"Cannot mark as received subscriber.","نمی‌توان به عنوان مشترک دریافت شده نشانه گذاری کرد."
"Confirmation Email Sender","فرستنده‌ی ایمیل تاییدیه"
"Confirmation Email Template","قالب ایمیل تاییدیه"
"Confirmation request has been sent.","درخواست تایید ارسال شد."
"Convert to Plain Text","تبدیل به متن ساده"
"Create Newsletter Template","ایجاد قالب خبرنامه"
"Customer","مشتری"
"Customer First Name","نام کوچک مشتری"
"Customer Last Name","نام خانوادگی مشتری"
"Customer My Account Newsletter Subscriptions","اشتراک‌های خبرنامه‌ی حساب من مشتری"
"Date Added","تاریخ افزودن"
"Date Updated","به روز شده در تاریخ"
"Delete","حذف"
"Delete Selected Problems","حذف مشکلات انتخاب شده"
"Delete Template","حذف قالب"
"Do you really want to cancel the queue?","شما واقعا می‌خواهید صف را لغو کنید؟"
"Duplicate template code.","کد قالب را تکثیر کن."
"Edit Newsletter","ویرایش خبرنامه"
"Edit Newsletter Template","ویرایش قالب خبرنامه"
"Edit Queue","ویرایش صف"
"Edit Template","ویرایش قالب"
"Email","ایمیل"
"Enter your email address","آدرس ایمیل‌تان را وارد نمایید"
"Error Code","کد خطا"
"Error Text","متن خطا"
"Guest","مهمان"
"ID","شناسه"
"Invalid queue selected.","صف نامعتبر انتخاب شده است."
"Invalid subscription ID.","شناسه‌ی اشتراک نامعتبر است."
"Invalid subscription confirmation code.","کد تایید اشتراک نامعتبراست."
"Message","پیام"
"Need to Confirm","نیازمند تایید"
"New Newsletter Template","قالب خبرنامه‌ی جدید"
"New Template","قالب جدید"
"Newsletter","خبرنامه"
"Newsletter Message Preview","پیش نمایش پیام خبرنامه"
"Newsletter Problem Reports","گزارشات مشکل خبرنامه"
"Newsletter Queue","صف خبرنامه"
"Newsletter Section","بخش خبرنامه"
"Newsletter Sign-up:","نام نویسی خبرنامه:"
"Newsletter Subscribers","مشترکین خبرنامه"
"Newsletter Subscription","اشتراک خبرنامه"
"Newsletter Subscriptions","اشتراک‌های خبرنامه"
"Newsletter Templates","قالب‌های خبرنامه"
"Newsletter subscription confirmation","تاییدیه‌ی اشتراک خبرنامه"
"Newsletter subscription success","موفقیت اشتراک خبرنامه"
"Newsletter unsubscription success","موفقیت لغو اشتراک خبرنامه"
"No Templates Found","قالبی یافت نشد"
"No problems found.","مشکلی یافت نشد."
"No subscribers selected.","مشترکی انتخاب نشده است."
"Not Activated","فعال نشده"
"Not Sent","فرستاده نشده"
"Pause","توقف"
"Paused","متوقف شد"
"Please enter a valid email address.","لطفا یک آدرس ایمیل معتبر وارد نمایید."
"Please enter new template name","لطفا نام قالب جدید را وارد نمایید"
"Please select subscriber(s)","لطفا مشترک(ها) را انتخاب نمایید"
"Preview","پیش نمایش"
"Preview Template","پیش نمایش قالب"
"Processed","پردازش شده"
"Queue Date Start","شروع تاریخ صف"
"Queue Finish","پایان صف"
"Queue Information","اطلاعات صف"
"Queue Newsletter...","صف خبرنامه..."
"Queue Start","شروع صف"
"Queue Subject","موضوع صف"
"Recipients","گیرندگان"
"Reset","بازنشانی"
"Resume","ادامه دادن"
"Return HTML Version","نسخه‌ی HTML را برگردان"
"Save As","ذخیره به عنوان"
"Save Newsletter","ذخیره‌ی خبرنامه"
"Save Template","ذخیره‌ی قالب"
"Save and Resume","ذخیره و ادامه"
"Selected problem subscribers have been unsubscribed.","مشترکین مشکل انتخاب شده، لغو اشتراک شده‌اند."
"Selected problems have been deleted.","مشکلات انتخاب شده حذف شده‌اند."
"Sender","فرستنده"
"Sender Email","ایمیل فرستنده"
"Sender Name","نام فرستنده"
"Sending","در حال فرستادن"
"Sent","فرستاده شد"
"Sign Up for Our Newsletter:","نام نویسی برای خبرنامه‌ی ما:"
"Sign up for our newsletter","برای خبرنامه‌ی ما نام نویسی نمایید"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","با عرض پوزش، مدیریت اشتراک برای مهمانان را ممنوع کرده است. لطفا <a href=""%s"">ثبت نام</a> نمایید."
"Sorry, but your can not subscribe email adress assigned to another user.","با عرض پوزش، اما شما نمی‌توانید آدرس ایمیل اختصاص یافته به کاربر دیگری را مشترک شوید."
"Start","شروع"
"Status","وضعیت"
"Store","فروشگاه"
"Store View","نمای فروشگاه"
"Subject","موضوع"
"Submit","ارایه"
"Subscribe","اشتراک"
"Subscribed","مشترک شده"
"Subscriber","مشترک"
"Subscribers","مشترکین"
"Subscribers From","فرم مشترکین"
"Subscription Options","گزینه‌های اشتراک"
"Success Email Sender","فرستنده‌ی ایمیل موفقیت"
"Success Email Template","قالب ایمیل موفقیت"
"Template Content","محتوای قالب"
"Template Information","اطلاعات قالب"
"Template Name","نام قالب"
"Template Styles","طرح‌های قالب"
"Template Subject","موضوع قالب"
"Template Type","نوع قالب"
"Thank you for your subscription.","از شما برای اشتراک‌تان سپاس گذاریم."
"The subscription has been removed.","اشتراک برداشته شده است."
"The subscription has been saved.","اشتراک ذخیره شده است."
"There was a problem with the subscription.","مشکلی با اشتراک وجود داشت."
"There was a problem with the subscription: %s","مشکلی با اشتراک وجود داشت: %s"
"There was a problem with the un-subscription.","مشکلی با لغو اشتراک وجود داشت."
"Type","نوع"
"Unsubscribe","لغو اشتراک"
"Unsubscribe Selected","لغو اشتراک انتخاب شده"
"Unsubscribed","لغو اشتراک شده"
"Unsubscription Email Sender","فرستنده‌ی ایمیل لغو اشتراک"
"Unsubscription Email Template","قالب ایمیل لغو اشتراک"
"View Newsletter","مشاهده‌ی خبرنامه"
"Website","وب‌سایت"
"You have been unsubscribed.","اشتراک شما لغو شده است."
"Your subscription has been confirmed.","اشتراک شما تایید شده است."
