"
                                Use in posting data from Magento to Ogone. <br/>
                                Use in data checking by Ogone before the payment.
                            ","
                                استفاده در ارسال داده‌ها از مجنتو به Ogone. <br/>
                                استفاده در بررسی داده‌ها توسط Ogone پیش از پرداخت.
                            "
"
                                Use in posting data from Ogone to Magento. <br/>
                                Use in feedback data checking by Magento
                            ","
                                استفاده در ارسال داده‌ها از Ogone به مجنتو. <br/>
                                استفاده در بررسی بازخورد داده‌ها توسط مجنتو
                            "
"Authorization","تصویب"
"Authorization Waiting from Ogone","تصویب در حال انتظار از Ogone"
"Authorization not known: A technical problem arose during authorization process, giving unpredictable result","تصویب ناشناخته: در طی فرایند تصویب یک مشکل فنی به وجود آمد، که نتایج غیر قابل پیش بینی می‌دهد"
"Background Color of Ogone Template","رنگ پس زمینه‌ی قالب Ogone"
"Button Background Color of the Ogone Template","رنگ پس زمینه‌ی دکمه‌ی قالب Ogone"
"Button Text Color of the Ogone Template","رنگ متن دکمه‌ی قالب Ogone"
"Cancelled Ogone","Ogone لغو شده"
"Debug","اشکال زدایی"
"Declined Ogone","Ogone رد شده"
"Declined Order on Ogone side.","سفارش در سمت Ogone رد شد."
"Direct Sale","فروش مستقیم"
"E.g: ""Verdana"".","برای نمونه: ""Verdana""."
"E.g: ""black"".","برای نمونه: ""سیاه""."
"E.g: ""white"".","برای نمونه: ""سفید""."
"Enabled","ممکن‌شده"
"Exception not defined","استثنا تعریف نشده"
"Font Family of the Ogone Template","خانواده‌ی فونت قالب Ogone"
"For production, replace ""test"" with ""prod"". Example: https://secure.ogone.com/ncol/prod/orderstandard.asp","برای ساخت، ""test"" را با ""prod"" جایگزین کنید. مثال: https://secure.ogone.com/ncol/prod/orderstandard.asp"
"Gateway URL","URL گذرگاه"
"Horizontally grouped logo with group name on left","لوگو به طور افقی با نام گروه در چپ گروه بندی شده"
"Horizontally grouped logo with no group name","لوگو به طور افقی با نام گروه، گروه بندی نشده"
"If you choose ""No Operation"", Ogone will use default payment procedure setup in Ogone configuration.","اگر شما ""بدون عملکرد"" را انتخاب کنید، Ogone روش نصب پرداخت پیش فرض را در پیکربندی Ogone به کار خواهد برد."
"If you choose ""Ogone Template"", you will need to fill in all the following fields.","اگر شما ""قالب Ogone"" را انتخاب کنید، نیاز خواهید داشت همه‌ی فیلدهای زیر را پر نمایید."
"Layout of Payment Methods","آرایش روش‌های پرداخت"
"Logo of the Ogone Template","لوگوی قالب Ogone"
"Magento","مجنتو"
"Ogone","Ogone"
"Ogone Default Operation","عملکرد پیش فرض Ogone"
"Order can\'t save","سفارش نمی‌تواند ذخیزه شود."
"PSPID","PSPID"
"Payment Action","کنش پرداخت"
"Payment Template","قالب پرداخت"
"Payment transaction has been declined.","تراکنش پرداخت رد شده است."
"Payment uncertain: A technical problem arose during payment process, giving unpredictable result","پرداخت مشکوک: در طی فرایند پرداخت یک مشکل فنی به وجود آمد، که نتایج غیر قابل پیش بینی می‌دهد"
"Pending Ogone","Ogone در انتظار"
"Please, wait a moment. This page will transfer your data to Ogone payment gateway in a few seconds.","لطفا، یک لحظه صبر نمایید. این صفحه در چند ثانیه‌ی کوتاه داده‌های شما را به گذرگاه پرداخت Ogone انتقال خواهد داد."
"Processed Ogone Payment","پرداخت Ogone پردازش شد"
"Processed by Ogone","توسط Ogone پردازش شد"
"Processing Ogone Payment","در حال پردازش پرداخت Ogone"
"SHA-1- OUT Signature","امضای SHA-1- OUT"
"SHA-1-IN Signature","امضای SHA-1-IN"
"Start Ogone Processing","شروع پردازش Ogone"
"Table Background Color of the Ogone Template","رنگ پس زمینه‌ی جدول قالب Ogone"
"Table Text Color of the Ogone Template","رنگ متن جدول قالب Ogone"
"Text Color of the Ogone Template","رنگ متن قالب Ogone"
"The hash is not valid","hash معتبر نیست"
"The order cannot be canceled for a system reason.","به یک دلیل سیستمی سفارش نمی‌تواند لغو شود."
"The order cannot be saved for a system reason.","به یک دلیل سیستمی سفارش نمی‌تواند ذخیره شود."
"The order cannot be saved.","سفارش نمی‌تواند ذخیره شود."
"The order is not valid","سفارش معتبر نیست"
"The order was canceled on ogone side.","سفارش در سمت ogone لغو شد."
"Title","عنوان"
"Title of the Ogone Template","عنوان قالب Ogone"
"URL/filename of the logo.<br />The URL must be absolute and stored on a secure server.","URL/نام فایل لوگو. <br />URL باید مستقل و ذخیره شده در یک سرور امن باشد."
"Unknown exception","استثنا ناشناخته"
"Verical list","لیست عمودی"
"Waiting Authorization","تصویب در حال انتظار"
"You can arrange the layout/list of the payment methods on Ogone payment page.","شما می‌توانید آرایش/لیست روش‌های پرداخت را در صفحه‌ی پرداخت Ogone بچینید."
"You will be redirected to Ogone website when you place an order.","هنگامی که شما سفارشی بدهید به وب‌سایت Ogone هدایت خواهید شد."
