"%s Store","فروشگاه %s"
"About Your Order","درباره‌ی سفارش‌تان"
"Account Information","اطلاعات حساب"
"Adapter Name","نام وفق دهنده"
"Arabic","عربی"
"Back","بازگشت"
"Back to My Orders","بازگشت به سفارشاتم"
"Baltic","بالتیک"
"Billing Address","آدرس صورت حساب"
"Billing to Name","صورت حساب به نام"
"Categories","رده‌ها"
"Category %s cannot be saved because of %s.","رده‌ی %s نمی‌تواند به دلیل %s ذخیره شود."
"Central European","اروپای مرکزی"
"Check Requirements","بررسی الزامات"
"Comments History","پیشینه‌ی توضیحات"
"Create under default website","ایجاد تحت وب‌سایت پیش فرض"
"Created At","ایجاد شده در"
"Currency","ارز"
"Customer Name","نام مشتری"
"Customers","مشتریان"
"Cyrillic","سیریلیک"
"DB Name","نام پایگاه‌داده"
"DB Password","گذرواژ‌ی پایگاه‌داده"
"DB Username","نام کاربری پایگاه‌داده"
"Database Connection Charset","تنظیم کاراکتر اتصال پایگاه‌داده"
"Database Data Charset","تنظیم کاراکتر داده‌های پایگاه‌داده"
"Date","تاریخ"
"Delete Profile","حذف پروفایل"
"Delivery Address","آدرس تحویل"
"East Asian","آسیای شرقی"
"Edit osCommerce Profile","ویرایش پروفایل osCommerce"
"Edit osCommerce Profile :: %s","ویرایش پروفایل osCommerce :: %s"
"Email","ایمیل"
"Email %s cannot be saved because of %s.","ایمیل %s نمی‌تواند به دلیل %s ذخیره شود."
"Error for checking store locale!","خطا برای بررسی فروشگاه محلی!"
"Final Price","قیمت نهایی"
"Finished profile execution.","اجرای پروفایل پایان یافت."
"General Information","اطلاعات عمومی"
"Greek","یونانی"
"Hebrew","عبری"
"ID","شناسه"
"IP or Hostname","IP یا نام میزبان"
"Import Options","گزینه‌های ورود"
"Import and Export","ورود و صدور"
"Importing...","در حال ورود..."
"Items Ordered","آیتم‌های سفارش داده شده"
"Japanese","ژاپنی"
"Korean","کره‌ای"
"Languages table error ","خطای لیست زبان‌ها"
"Locale Selection","انتخاب محلی"
"My Previous Orders","سفارش‌های پیشین من"
"Name","نام"
"Need to check Customers for Orders","نیاز به بررسی مشتریان برای سفارش‌ها"
"New Profile","پروفایل جدید"
"New osCommerce Profile","پروفایل جدید osCommerce"
"No osCommerce profile","بدون پروفایل osCommerce"
"No osCommerce profile loaded...","پروفایل osCommerceای لود نشد..."
"Notice: Please place all images under MAGENTO_ROOT/media/import/ with writable permission to all files including sub folders.","توجه: لطفا همه‌ی تصاویر را تحت MAGENTO_ROOT/media/import/ با مجوز قابل نوشتن برای همه‌ی فایل‌ها از جمله زیر پوشه‌ها بگذارید."
"Order","سفارش"
"Order #","شماره‌ی سفارش"
"Order # %s","سفارش شماره‌ی %s"
"Order #%s failed to import because the customer ID #%s associated with this order could not be found.","ناموفق به ورود سفارش شماره‌ی %s زیرا نتوانست شناسه‌ی مشتری شماره‌ی %s متناظر با این سفارش پیدا شود."
"Order Date","تاریخ سفارش"
"Order Date:","تاریخ سفارش:"
"Order Status","وضعیت سفارش"
"Order Total","مجموع سفارش"
"Order Totals","جمع کل سفارش"
"Orders","سفارش‌ها"
"Payment Information","اطلاعات پرداخت"
"Please check at least an option in Import Options\n","لطفا دست کم یک گزینه از گزینه‌های ورود را انتخاب نمایید \n"
"Please check default website or input website code in General Information\n","لطفا وب‌سایت پیش فرض را انتخاب نمایید یا کد وب‌سایت را در اطلاعات عمومی وارد نمایید \n"
"Please select a timezone\n","لطفا یک منطقه‌ی زمانی را انتخاب نمایید \n"
"Port (Default as 3306)","پورت (3306 به عنوان پیش فرض)"
"Prefix","پیشوند"
"Price","قیمت"
"Product","محصول"
"Product Name","نام محصول"
"Products","محصولات"
"Purchased Date","تاریخ خریداری"
"Purchased Month","ماه خریداری"
"Purchased Year","سال خریداری"
"Qty","تعداد"
"Qty Ordered","تعداد سفارش داده شده"
"Root Category for %s","رده‌ی ریشه برای %s"
"Run Profile","اجرای پروفایل"
"SKU","کد کالا"
"SKU %s cannot be saved because of %s.","کد کالای %s نمی‌تواند به دلیل %s ذخیره شود."
"Sales","فروش‌ها"
"Save Profile","ذخیره‌ی پروفایل"
"Save and Continue Edit","ذخیره و ادامه‌ی ویرایش"
"Select a Connection Charset","یک تنظیم کاراکتر اتصال انتخاب کنید"
"Select a Data Charset","یک تنظیم کاراکتر داده انتخاب کنید"
"Select a timezone","یک منطقه‌ی زمانی انتخاب کنید"
"Select a website","یک وب‌سایت انتخاب کنید"
"Send Subscription Notification to Customers","ارسال اطلاعیه‌ی اشتراک به مشتریان"
"Ship To","ارسال به"
"Ship to Name","ارسال به نام"
"Shipping & Handling Information","اطلاعات ارسال و رسیدگی"
"Shipping Address","آدرس ارسال"
"Shipping Method","روش ارسال"
"Simplified Chinese","چینی ساده شده"
"South Asian","آسیای جنوبی"
"Start Running","شروع اجرا"
"Starting profile execution, please wait...","اکستنشن پروفایل آغاز می‌شود، لطفا صبر نمایید..."
"Subtotal","جمع جز"
"System","سیستم"
"Thai","تایلندی"
"The data has been imported.","داده‌ها وارد شد."
