"%s Item(s)","%s آیتم"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. All Rights Reserved. (Persian Translate: CODNITIVE&trade;)"
"(Shift-)Click or drag to change value","برای تغییر مقدار (Shift-(Click یا درگ کنید"
"(ver. %s)","(نسخه‌ی %s)"
"- Click on any of the time parts to increase it","- برای افزایش دادن هر یک از بخش‌های زمان بر روی آن کلیک کنید"
"- Hold mouse button on any of the above buttons for faster selection.","- برای انتخاب سریع‌تر کلیک موس را بر روی هر یک از دکمه‌های فوق نگه دارید."
"- Use the %s buttons to select month","- برای انتخاب ماه دکمه‌های %s را به کار ببرید"
"- Use the %s, %s buttons to select year","- برای انتخاب سال دکمه‌های %s, %s را به کار ببرید"
"- or Shift-click to decrease it","- یا Shift-click کنید تا آن را کاهش دهید"
"- or click and drag for faster selection.","- یا برای انتخاب سریع‌تر آن کلیک و درگ کنید."
"-- Please Select --","-- لطفا انتخاب نمایید --"
"1 column","1 ستونی"
"2 columns with left bar","2 ستونی با نوار سمت چپ"
"2 columns with right bar","2 ستونی با نوار سمت راست"
"3 columns","3 ستونی"
"About the calendar","درباره‌ی تقویم"
"All Empty Layout Pages","همه‌ی صفحات آرایش خالی"
"All One-Column Layout Pages","همه‌ی صفحات آرایش تک ستونی"
"All Pages","همه‌ی صفحات"
"All Pages (Print Version)","همه‌ی صفحات (نسخه‌ی چاپ)"
"All Three-Column Layout Pages","تمام صفحات آرایش سه ستونی"
"All Two-Column Layout Pages (Left Column)","تمام صفحات آرایش دو ستونی (ستون سمت چپ)"
"All Two-Column Layout Pages (Right Column)","تمام صفحات آرایش دو ستونی (ستون سمت راست)"
"Click <a href=""%s"">here</a> if nothing has happened","اگر چیزی اتفاق نیافتاده است <a href=""%s"">اینجا</a> را کلیک کنید"
"Close","بستن"
"Close Window","بستن پنجره"
"DHTML Date/Time Selector","گزینش گر تاریخ/زمان DHTML"
"Date selection:","انتخاب تاریخ:"
"Default Description","توصیف پیش فرض"
"Default welcome msg!","پیام خوش آمد گویی پیش فرض!"
"Display %s first","نمایش %s در ابتدا"
"Distributed under GNU LGPL. See %s for details.","توزیع شده تحت GNU LGPL. برای جزییات %s را ببینید."
"Drag to move","برای جابجایی بکشید"
"Empty","خالی"
"For latest version visit: %s","برای بازدید آخرین نسخه: %s"
"Free Shipping on orders over 50$","ارسال رایگان برای سفارشات بالای 500000ریـال"
"Go Today","برو به امروز"
"Help Us to Keep Magento Healthy","به ما در سالم نگه داشتن مجنتو کمک کنید"
"Interface Language","زبان رابط"
"Items %s to %s of %s total","آیتم‌های %s تا %s از مجموع %s تا"
"JavaScript seem to be disabled in your browser.","به نظر می‌رسد JavaScript در مرورگرتان ناممکن شده است."
"Left Column","ستون چپ"
"Main Content Area","ناحیه‌ی محتوای اصلی"
"Next","بعدی"
"Next month (hold for menu)","ماه بعد (برای منو نگه دارید)"
"Next year (hold for menu)","سال بعد (برای منو نگه دارید)"
"Page Footer","فوتر صفحه"
"Page Header","هدر صفحه"
"Page:","صفحه:"
"Prev. month (hold for menu)","ماه قبل (برای منو نگه دارید)"
"Prev. year (hold for menu)","سال قبل (برای منو نگه دارید)"
"Previous","قبلی"
"Redirecting...","در حال هدایت مجدد..."
"Report All Bugs","گزارش همه‌ی باگ‌ها"
"Right Column","ستون راست"
"Select Store","انتخاب فروشگاه"
"Select Store:","انتخاب فروشگاه:"
"Select date","انتخاب تاریخ"
"Show","نمایش"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","این یک نمونه نمایشی فروشگاه است. هیچ سفارش داده شده‌ای از طریق این فروشگاه پذیرفته یا تکمیل نخواهد شد."
"Time selection:","انتخاب زمان:"
"Time:","زمان:"
"Welcome, %s!","%s، خوش آمدید!"
"You must have JavaScript enabled in your browser to utilize the functionality of this website.","برای به کار گرفتن قابلیت این وب‌سایت، باید JavaScript در مرورگرتان ممکن‌شده باشد."
"Your Language","زبان شما"
"Your Language:","زبان شما:"
"per page","تا بر صفحه"
