"--Please Select--","--لطفا انتخاب نمایید--"
"AMEX","AMEX"
"AURORE","AURORE"
"Activated Key","کلید فعال شده"
"Amount does not match.","مبلغ مطابق نیست."
"An error has occurred","یک خطا رخ داد"
"Authorization","تصویب"
"CARTE","CARTE"
"CB","CB"
"Cannot create the invoice.","ناتوان در ایجاد فاکتور."
"Card Verification Number","شماره‌ی امنیتی کارت"
"Cart Type","نوع سبد خرید"
"Click <a href=""%s"">here</a> to continue shopping.","برای ادامه‌ی خرید <a href=""%s"">اینجا</a> کلیک کنید."
"Command Line Mode","حالت خط فرمان"
"Credit Card Number","شماره‌ی کارت اعتباری"
"Credit Card Number: xxxx-%s","شماره‌ی کارت اعتباری: xxxx-%s"
"Credit Card Type","نوع کارت اعتباری"
"Credit Card Type: %s","نوع کارت اعتباری: %s"
"Credit Card Types","انواع کارت اعتباری"
"Customer Choise","انتخاب مشتری"
"DEU (German)","DEU (آلمانی)"
"DINERS","DINERS"
"Debug Flag","نشانه‌ی اشکال زدایی"
"Delay in Displaying the Intermediary Page (in msec)","تاخیر در نمایش صفحه‌ی واسط (به میلی ثانیه)"
"E CARD","E CARD"
"ESP (Spanish)","ESP (اسپانیایی)"
"EUROCARD & MASTERCARD","EUROCARD و MASTERCARD"
"Enabled","ممکن‌شده"
"Error in refunding the payment","خطا در استرداد پرداخت."
"Expiration Date","تاریخ انقضا"
"FRA (French)","FRA (فرانسوی)"
"GBR (English)","GBR (انگلیسی)"
"GET","GET"
"HTML Form","فرم HTML"
"ITA (Italian)","ITA (ایتالیایی)"
"JCB","JCB"
"Language of the Payment Page","زبان صفحه‌ی پرداخت"
"Management Mode of the Intermediary Page","مدیریت حالت صفحه‌ی واسط"
"Mode A","حالت A"
"Mode B","حالت B"
"Mode C","حالت C"
"Mode D","حالت D"
"Mode E","حالت E"
"Mode of Retrieval of Information","حالت بازیابی اطلاعات"
"NLD (Dutch)","NLD (هلندی)"
"Name of the Button on the Intermediary Page","نام دکمه در صفحه‌ی واسط"
"Name on Card","نام روی کارت"
"Name on the Card: %s","نام روی کارت: %s"
"New Order Status","وضعیت سفارش جدید"
"Only if the ""HTML From"" mode selected.","تنها اگر حالت ""فرم HTML"" انتخاب شده بود."
"Only with ""Command Line"" mode.","تنها با حالت ""خط فرمان""."
"Order does not match.","سفارش مطابق نیست."
"PAYBOX Identifier","شناسه‌ی PAYBOX"
"PAYNOVA","PAYNOVA"
"PAYPAL","PAYPAL"
"POST","POST"
"Paybox CGI File","فایل CGIی Paybox"
"Paybox Direct","Paybox مستقیم"
"Paybox System","سیستم Paybox"
"Paybox payment gateway is not available right now","درحال حاضر گذرگاه پرداخت Paybox در دسترس نیست"
"Payment","پرداخت"
"Payment Action","کنش پرداخت"
"Payment Type","نوع پرداخت"
"Payment from Applicable Countries","پرداخت از کشورهای مناسب"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Ping Flag","نشانه‌ی پینگ"
"Please Select","لطفا انتخاب نمایید"
"Rank Number","شماره‌ی مرتبه"
"SWE (Swedish)","SWE (سوئدی)"
"SYMPASS","SYMPASS"
"Screen Background of the Intermediary Page","پس زمینه‌ی صفحه نمایش صفحه‌ی واسط"
"Site Number (TPE)","شماره‌ی سایت (TPE)"
"Sort Order","ترتیب ردیف"
"Specify the URL of the primary backup payment server if different from default.","URL سرور پرداخت پشتیبان اولیه را اگر با پیش فرض متفاوت است مشخص نمایید."
"Specify the URL of the primary payment server if different from default.","URL سرور پرداخت اولیه را اگر با پیش فرض متفاوت است مشخص نمایید."
"Specify the URL of the second backup payment server if different from default.","URL سرور پرداخت پشتیبان دوم را اگر با پیش فرض متفاوت است مشخص نمایید."
"Specify the URL of the third backup payment server if different from default.","URL سرور پرداخت پشتیبان سوم را اگر با پیش فرض متفاوت است مشخص نمایید."
"TCP Port","پورت TCP"
"TCP port used to check the availability of a payment server if ""Ping Flag"" enabled (default port is 443).","اگر ""نشانه‌ی پرداخت"" ممکن شده باشد پورت TCP برای بررسی دسترسی یک سرور پرداخت استفاده می‌شود (پورت پیش فرض 443 است)."
"TERMINEO","TERMINEO"
"Text on the Intermediary Page","متن در صفحه‌ی واسط"
"The URL of the Backup Payment Server","URL سرور پرداخت پشتیبان"
"The URL of the Primary Backup Payment Server","URL سرور پرداخت پشتیبان اولیه"
"The URL of the Primary Payment Server","URL سرور پرداخت اولیه"
"The URL of the Second Backup Payment Server","URL سرور پرداخت پشتیبان دوم"
"The URL of the Third Backup Payment Server","URL سرور پرداخت پشتیبان سوم"
"The customer has returned from Paybox.","مشتری از Paybox بازگشته است."
"The customer was redirected to Paybox","مشتری به Paybox هدایت شد."
"The customer was redirected to Paybox using \'command line\' mode.","مشتری با استفاده از حالت \'خط فرمان \' به Paybox هدایت شد."
"The customer was refused by Paybox.","مشتری توسط Paybox پذیرفته نشد."
"The customer was rejected by Paybox.","مشتری توسط Paybox رد شد."
"The invoice has been created.","فاکتور ایجاد شد."
"The order was canceled by the customer.","سفارش توسط مشتری لغو شد."
"There are no orders.","سفارشی وجود ندارد."
"There has been an error processing your payment. ","یک خطا در پردازش پرداخت‌تان وجود داشته است. "
"There has been an error processing your payment. Please try later or contact us for help.","یک خطا در پردازش پرداخت‌تان وجود داشته است. لطفا بعدا سعی نمایید یا برای کمک با ما تماس بگیرید."
"Time-out (in seconds) to check the avalaibility of the primary backup payment server (default 10 seconds).","مهلت (به ثانیه) برای بررسی دسترسی سرور پرداخت پشتیبان اولیه (پیش فرض 10 ثانیه)."
"Time-out (in seconds) to check the avalaibility of the primary payment server (default 8 seconds).","مهلت (به ثانیه) برای بررسی دسترسی سرور پرداخت اولیه (پیش فرض 8 ثانیه)."
"Time-out (in seconds) to check the avalaibility of the second backup payment server (fefault 20 seconds).","مهلت (به ثانیه) برای بررسی دسترسی سرور پرداخت پشتیبان دوم (پیش فرض 20 ثانیه)."
"Time-out (in seconds) to check the avalaibility of the third backup payment server (default 20 seconds).","مهلت (به ثانیه) برای بررسی دسترسی سرور پرداخت پشتیبان سوم (پیش فرض 20 ثانیه)."
"Timeout for Checking","مهلت برای بررسی"
"Title","عنوان"
"VISA","VISA"
"What is this?","این چیست؟"
"You will be redirected to Paybox in a few seconds.","شما در چند ثانیه‌ی کوتاه به Paybox هدایت خواهید شد."
"You will be redirected to the Paybox website when you place an order.","هنگامی که شما سفارشی بدهید به وب‌سایت Paybox هدایت خواهید شد."
