"API Login ID","شناسه‌ی ورود API"
"Accepted Currency","ارز پذیرفته شده"
"Authorize Only","تنها تصویب کردن"
"Authorize and Capture","تصویب کردن و ضبط"
"Authorize.net","Authorize.net"
"Credit Card Types","انواع کارت اعتباری"
"Credit Card Verification","تایید کارت اعتباری"
"Debug","اشکال زدایی"
"Email Customer","ایمیل زدن به مشتری"
"Enabled","ممکن‌شده"
"Error in capturing the payment.","خطا در ضبط پرداخت."
"Error in payment gateway.","خطا در گذرگاه پرداخت."
"Error in refunding the payment.","خطا در استرداد پرداخت."
"Gateway error: %s","خطای گذرگاه: %s"
"Invalid amount for authorization.","مبلغ نامعتبر برای تصویب."
"Invalid transaction ID.","شناسه‌ی تراکنش نامعتبر."
"Maximum Order Total","بیشینه‌ی جمع کل سفارش"
"Merchant's Email","ایمیل فروشنده"
"Minimum Order Total","کمینه‌ی جمع کل سفارش"
"New Order Status","وضعیت سفارش جدید"
"Payment Action","کنش پرداخت"
"Payment authorization error.","خطای تصویب پرداخت."
"Payment authorization transaction has been declined.","تراکنش تصویب پرداخت رد شده است."
"Payment from Applicable Countries","پرداخت از کشورهای مناسب"
"Payment from Specific Countries","پرداخت از کشورهای خاص"
"Sort Order","ترتیب ردیف"
"Test Mode","حالت آزمایشی"
"Title","عنوان"
"Transaction Key","کلید تراکنش"
