"%s %s cycle.","سیکل %s %s."
"--Please Select--","--لطفا انتخاب نمایید--"
"3D Secure Card Validation","تصدیق کارت 3D Secure"
"3D Secure Credit Card Validation","تصدیق کارت اعتباری 3D Secure"
"<label>Make Check payable to:</label> %s","<label> چک را قابل پرداخت کنید برای:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","یک مقدار برای حالت واقعی الزامی است. به موافقت نامه‌ی CardinalCommerceتان مراجعه کنید."
"Allow Initial Fee Failure","اجازه‌ی شکست هزینه‌ی اولیه"
"An internal reference ID is required to save the payment profile.","یک شناسه‌ی ارجاع داخلی برای ذخیره‌ی پروفایل پرداخت الزامی است."
"Auto Bill on Next Cycle","قبض خودکار در سیکل بعدی"
"Automatically Invoice All Items","فاکتور کردن همه‌ی آیتم‌ها به طور خودکار"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","مبلغ مانده‌ی واریز نشده را به طور خودکار در صورت حساب سیکل بعدی لحاظ کن (اگر پرداخت‌های ناموفق وجود داشتند)."
"Billing Agreement status is not set.","وضعیت قرارداد صدور صورت حساب تنظیم نیست."
"Billing Amount","مبلغ صورت حساب"
"Billing Frequency","تکرار صورت حساب"
"Billing Period","دوره‌ی صورت حساب"
"Billing Period Unit","واحد دوره‌ی صورت حساب"
"Billing period unit is not defined or wrong.","واحد دوره‌ی صورت حساب تعریف نشده یا اشتباه است."
"Cannot load configuration for payment method ""%s""","نمی‌توان پیکربندی را برای روش پرداخت ""%s""" لود کرد"
"Cannot retrieve payment method instance.","نمی‌توان روش پرداخت نمونه را بازیابی کرد."
"Cannot retrieve the payment info model object.","نمی‌توان شی مدل اطلاعات پرداخت را بازیابی کرد."
"Cannot retrieve the payment method model object.","نمی‌توان شی مدل روش پرداخت را بازیابی کرد."
"Card Verification Number","شماره‌ی امنیتی کارت"
"Centinel API URL","API URL سنتینل"
"Check / Money Order","چک / حواله‌ی پول"
"Credit Card Number","شماره‌ی کارت اعتباری"
"Credit Card Number: xxxx-%s","شماره‌ی کارت اعتباری: xxxx-%s"
"Credit Card Type","نوع کارت اعتباری"
"Credit Card Type: %s","نوع کارت اعتباری: %s"
"Credit Card Types","انواع کارت اعتباری"
"Currency","ارز"
"Currency code is undefined.","کد ارز تعریف نشده است."
"Customer ID is not set.","شناسه‌ی کاربر تنظیم نیست."
"Day","روز"
