"2-pixel perimeter around the header space.","2 پیکسل پیرامون اطراف فضای هدر."
"3D Secure","3D Secure"
"3D Secure Card Validation","تصدیق کارت 3D Secure"
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">شورع پذیرش پرداخت‌ها توسط پی پال!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","یک مقدار برای حالت زنده الزامی است. به موافقت نامه‌ی CardinalCommerce‌تان مراجعه کنید."
"ACH Deposit (Hold for Dispute or Other Investigation)","سپرده‌ی ACH (تعلیق برای اختلاف یا دیگر رسیدگی‌ها)"
"ACH Deposit (Reversal)","سپرده‌ی ACH (برگشت)"
"ACH Funding for Funds Recovery from Account Balance","بودجه‌ی ACH برای بازیابی وجوه از مانده حساب"
"ACH Withdrawal","برداشت ACH"
"API Password","گذرواژه‌ی API"
"API Signature","امضای API"
"API Username","نام کاربری API"
"API Uses Proxy","پیراکسی مورد استفاده‌ی API"
"API/Integration","API/ادغام"
"API/Integration Settings","تنظیمات API/ادغام"
"Ability for buyer to purchase without PayPal account.","توانایی خرید برای خریداران بدون حساب پی پال."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","پذیرش پرداخت‌های پی پال در سبد خریدتان. پی پال پرداخت‌های کارت اعتباری تان را از طریق گذرگاه Payflow Pro پردازش خواهد کرد."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","پذیرش پرداخت‌ها بدون این که مشتری وب‌سایت‌تان را ترک کند. بسیاری از سبدهای خرید و سرویس‌های وب هاستینگ محبوب گذرگاه پرداخت Payflow آماده دارند، بنابراین نصب آن‌ها آسان است."
"Acceptance Mark","نشان پذیرش"
"Acceptance Mark Image","تصویر نشان پذیرش"
"Account-to-Account Payment, initiated by PayPal","پرداخت حساب به حساب، آغاز شده توسط پی پال"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","افزودن یک دکمه‌ی تسویه‌ی سریع به سبد خرید موجودتان برای پرداخت‌های کارت اعتباری سریع و آسان. پی پال همه‌ی پردازش‌های پرداخت را کنترل می‌کند."
"Additional Options","گزینه‌های اضافی"
"Address Verification System Response","پاسخ سیستم تایید آدرس"
"All the address information matched","همه‌ی اطلاعات آدرس مطابق بود"
"Allow in Billing Agreement Wizard","ممکن در ویزارد قرارداد صدور صورت حساب"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","مقادیر امکان پذیر: ""paypal"", ""primary"" (پیش فرض), your_custom_value (یک طرح صفحه‌ی پرداخت سفارشی از پروفایل حساب فروشنده‌ی شما)."
"Allowed Credit Card Types","انواع کارت‌های اعتباری مجاز"
"Also affects mini-shopping cart.","همچنین بر سبد خرید کوچک  نیز اثر می‌کند."
"Api/Integration","Api/ادغام"
"Ask Customer","پرسش از مشتری"
"Attempted Authentication, Bad Result","اقدام به تایید، نتیجه‌ی بد"
"Attempted Authentication, Good Result","اقدام به تایید، نتیجه‌ی خوب"
"Auction Payment other than through eBay","پرداخت حراج‌های دیگر از طریق eBay"
"Authenticated, Bad Result","تصدیق شده، نتیجه‌ی بد"
"Authenticated, Good Result","تصدیق شده، نتیجه‌ی خوب"
"Authorization","تصویب"
