"ALL","همه"
"ANY","هر یک"
"Add","افزودن"
"Apply","اعمال"
"Conditions Combination","ترکیب شرط‌ها"
"Description: %s","توصیف: %s"
"End Date should be greater than Start Date","تاریخ پایان باید از تاریخ شروع بزرگ‌تر باشد"
"Expire at: %s","انقضا در: %s"
"FALSE","نادرست"
"If %s of these conditions are %s:","اگه %s این شرط‌ها %s هستند:"
"Invalid discount amount.","مبلغ تخفیف نامعتبر."
"MATCHING ALL","تطابق همه"
"MATCHING ANY","تطابق هر یک"
"NOT MATCHING ALL","عدم تطابق همه"
"NOT MATCHING ANY","عدم تطابق هر یک"
"Name: %s","نام: %s"
"Open Chooser","بازکردن گزینش‌گر"
"Perform following actions","اجرای کنش‌های زیر"
"Please choose a condition to add...","لطفا شرطی را برای افزودن انتخاب نمایید..."
"Please choose an action to add...","لطفا کنشی را برای افزودن انتخاب نمایید..."
"Remove","برداشتن"
"Start at: %s","شروع در: %s"
"TRUE","درست"
"by","توسط"
"contains","شامل"
"does not contain","شامل نیست"
"equals or greater than","برابر یا بزرگ‌تر از"
"equals or less than","برابر یا کم‌تر از"
"greater than","بزرگ‌تر از"
"is","هست"
"is not","نیست"
"is not one of","نیست یکی از"
"is one of","هست یکی از"
"less than","کمتر از"
"to","تا"
