"""%s"" coupon code is not valid.","کد کوپن ""%s"" معتبر نیست."
"%s","%s"
"%s / %s rate:","%s / %s امتیاز:"
"%s for %s","%s برای %s"
"%s order(s) cannot be canceled","%s سفارش نمی‌تواند لغو شود"
"%s order(s) have been canceled.","%s سفارش لغو شد."
"%s order(s) have been put on hold.","%s سفارش در تعلیق قرار داده شد."
"%s order(s) have been released from holding status.","%s سفارش از وضعیت تعلیق رها شد."
"%s order(s) were not put on hold.","%s سفارش در تعلیق قرار داده نشده بود."
"%s order(s) were not released from holding status.","%s سفارش از وضعیت تعلیق رها نشده بود."
"* - Enter custom price excluding tax","* - وارد کردن قیمت سفارشی بدون مالیات"
"* - Enter custom price including tax","* - وارد کردن قیمت سفارشی شامل مالیات"
"-- Please Select --","-- لطفا انتخاب نمایید --"
"-- Please Select Billing Agreement--","-- لطفا قرارداد صدور صورت حساب را انتخاب نمایید--"
"About This Order:","درباره‌ی این سفارش:"
"About This Profile:","درباره‌ی این پروفایل:"
"About Your Order","درباره‌ی سفارش‌تان"
"Accept Payment","پذیرش پرداخت"
"Accept or Deny Payment","پذیرش یا رد پرداخت"
"Account Information","اطلاعات حساب"
"Action","کـنـش"
"Actions","کنش‌ها"
"Activate","فعال کردن"
"Active","فعال"
"Add","افزودن"
"Add Gift Messsage","افزودن پیام هدیه"
"Add New Address","افزودن آدرس جدید"
"Add Order Comments","افزودن توضیحات سفارش"
"Add Products","افزودن محصولات"
"Add Selected Product(s) to Option","افزودن محصول(ات) انتخاب شده به گزینه"
"Add Selected Product(s) to Order","افزودن محصول(ات) انتخاب شده به سفارش"
"Add To Order","افزودن به سفارش"
"Add Tracking Number","افزودن شماره‌ی پیگیری"
"Add a gift message for <strong>each gift item</strong>","افزودن یک پیام هدیه برای <strong>هر آیتم هدیه</strong>"
"Add a gift message for the <strong>entire order</strong>","افزودن یک پیام هدیه برای <strong>تمام سفارش</strong>"
"Add comment to order","افزودن توضیح به سفارش"
"Add new comment to shipment","افزودن توضیح جدید به محموله"
"Add new tracking number","افزودن شماره‌ی پیگیری جدید"
"Add to Cart","افزودن به سبد"
"Address","آدرس"
"Address model is not defined.","مدل آدرس تعریف نشده است."
"Adjustment Fee","هزینه‌ی تنظیم"
"Adjustment Refund","تنظیم استرداد"
"Agreement Information","اطلاعات قرارداد"
"Allow Reorder","اجازه‌ی سفارش دوباره"
"Amount","مبلغ"
"Amount: %s.","مبلغ: %s."
"An item option with code %s already exists.","یک گزینه‌ی آیتم با کد %s وجود دارد."
"Append Comments","پیوست کردن توضیحات"
"Apply","اعمال"
"Apply Coupon Code","اعمال کد کوپن"
"Approved the payment online.","پرداخت آنلاین تایید شد."
"Are you sure you want to accept this payment?","شما مطمئن‌اید که می‌خواهید این پرداخت را بپذیرید؟"
"Are you sure you want to cancel this order?","شما مطمئن‌اید که می‌خواهید این پرداخت را لغو کنید؟"
"Are you sure you want to deny this payment?","شما مطمئن‌اید که می‌خواهید این پرداخت را رد کنید؟"
"Are you sure you want to do this?","شما مطمئن‌اید که می‌خواهید این را انجام دهید؟"
"Are you sure you want to send Creditmemo email to customer?","شما مطمئن‌اید که می‌خواهید ایمیل یادداشت بستانکاری را به مشتری ارسال کنید؟"
"Are you sure you want to send Invoice email to customer?","شما مطمئن‌اید که می‌خواهید ایمیل فاکتور را به مشتری ارسال کنید؟"
"Are you sure you want to send Shipment email to customer?","شما مطمئن‌اید که می‌خواهید ایمیل محموله را به مشتری ارسال کنید؟"
"Are you sure you want to send order email to customer?","شما مطمئن‌اید که می‌خواهید ایمیل سفارش را به مشتری ارسال کنید؟"
"Are you sure you want to void the payment?","شما مطمئن‌اید که می‌خواهید پرداخت را باطل کنید؟"
"Are you sure?","شما مطمئن‌اید؟"
"Are you sure? This order will be canceled and a new one will be created instead","شما مطمئن‌اید؟ این سفارش لغو خواهد شد و به جای آن سفارش جدیدی ایجاد خواهد شد"
