"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - همسانی همه؛ 'xyz*' - همسانی هر کدام که با 'xyz' شروع می‌شود و بلندتر از %d نیست."
"-- Please Select --","-- لطفا انتخاب نمایید --"
"Add New Class","افزودن کلاس جدید"
"Add New Tax Rate","افزودن نرخ مالیات جدید"
"Add New Tax Rule","افزودن قانون مالیات جدید"
"After Discount","پس از تخفیف"
"An error occurred while deleting this rate.","یک خطا در حین حذف این نرخ رخ داد."
"An error occurred while deleting this rate. Incorrect rate ID.","یک خطا در حین حذف این نرخ رخ داد. شناسه‌ی نرخ نادرست."
"An error occurred while deleting this tax class.","یک خطا در حین حذف این کلاس مالیات رخ داد."
"An error occurred while deleting this tax rule.","یک خطا در حین حذف این قانون مالیات رخ داد."
"An error occurred while saving this rate.","یک خطا در حین ذخیره سازی این نرخ رخ داد."
"An error occurred while saving this tax class.","یک خطا در حین ذخیره سازی این کلاس مالیات رخ داد."
"An error occurred while saving this tax class. A class with the same name already exists.","یک خطا در حین ذخیره سازی این کلاس مالیات رخ داد. یک کلاس با نام یکسان وجود دارد."
"An error occurred while saving this tax rule.","یک خطا در حین ذخیره سازی این قانون مالیات رخ داد."
"Apply Customer Tax","اعمال مالیات مشتری"
"Apply Discount On Prices","اعمال تخفیف بر قیمت‌ها"
"Apply Tax On","اعمال مالیات بر"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","اگر ""اعمال مالیات پس از تخفیف"" انتخاب شده، اعمال تخفیف بر قیمت با مالیات بر اساس مالیات فروشگاه محاسبه شده است."
"Are you sure you want to do this?","شما مطمئن‌اید که می‌خواهید این را انجام دهید؟"
"Back","بازگشت"
"Before Discount","پیش از تخفیف"
"CSV","CSV"
"Calculation Settings","تنظیمات محاسبه"
"Catalog Prices","قیمت‌های کاتالوگ"
"Class Name","نام کلاس"
"Code","کد"
"Country","کشور"
"County","شهرستان"
"Custom price if available","قیمت سفارشی اگر موجود است"
"Customer Tax Class","کلاس مالیاتی مشتری"
"Customer Tax Class Information","اطلاعات کلاس مالیاتی مشتری"
"Customer Tax Classes","کلاس‌های مالیاتی مشتری"
"Default Country","کشور پیش فرض"
"Default Post Code","کد پستی پیش فرض"
"Default State","ایالت پیش فرض"
"Default Tax Destination Calculation","محاسبه‌ی مقصد مالیات پیش فرض"
"Delete Class","حذف کلاس"
"Delete Rate","حذف نرخ"
"Delete Rule","حذف قانون"
"Display Full Tax Summary","نمایش خلاصه‌ی مالیات کامل"
"Display Prices","نمایش قیمت‌ها"
"Display Product Prices In Catalog","نمایش قیمت‌های محصول در کاتالوگ"
"Display Shipping Amount","نمایش مبلغ ارسال"
"Display Shipping Prices","نمایش قیمت‌های ارسال"
"Display Subtotal","نمایش جمع جز"
"Display Zero Tax Subtotal","نمایش جمع جز مالیات صفر"
"Edit Class","ویرایش کلاس"
"Edit Class '%s'","ویرایش کلاس '%s'"
"Edit Rule","ویرایش قانون"
"Edit Tax Rate","ویرایش نرخ مالیات"
"Excl. Tax","بی مالیات"
"Excl. Tax:","بی مالیات:"
"Excluding Tax","بدون مالیات"
"Export Tax Rates","صدور نرخ‌های مالیات"
