" was not delivered nor scanned"," تحویل و اسکن نشده بود"
"1 Day Freight","باربری 1 روزه"
"2 Day Freight","باربری 2 روزه"
"2Day","2روز"
"2nd Day Air","هوایی روز دوم"
"2nd Day Air AM","هوایی صبح روز دوم"
"2nd Day Air AM Letter","مرسوله هوایی صبح روز دوم"
"2nd Day Air Letter","مرسوله هوایی روز دوم"
"3 Day Freight","باربری 3 روزه"
"3 Day Select","ممتاز 3 روزه"
"Access ID","شناسه‌ی دسترسی"
"Access License Number","شماره‌ی مجوز دسترسی"
"Account ID","شناسه‌ی حساب"
"Account Number","شماره‌ی حساب"
"Additional Protection Configuration Value","مقدار پیکربندی حفاظت اضافی"
"Additional Protection Enabled","حفاظت اضافی ممکن شده"
"Additional Protection Min Subtotal","کمینه جمع جز حفاظت اضافی"
"Additional Protection Value","ارزش حفاظت اضافی"
"Additional Protection Value Rounding Method","روش گرد کردن ارزش حفاظت اضافی"
"All Services","همه‌ی سرویس‌ها"
"Allowed Methods","روش‌های مجاز"
"Bound Printed Matter","محدود کردن اوراق چاپی"
"Business Service Center","مرکز سرویس تجاری"
"Calculate Handling Fee","محاسبه‌ی هزینه‌ی رسیدگی"
"Canada Standard","استاندارد کانادا"
"Cannot retrieve shipping rates","نمی‌توان نرخ‌های ارسال را بازیابی کرد"
"Commercial","تجاری"
"Configuration","پیکربندی"
"Container","کانتینر"
"Customer Packaging","بسته بندی مشتری"
"DHL","DHL"
"Debug","اشکال زدایی"
"Default Package Height","بلندی پیش فرض بسته"
"Default Package Length","طول پیش فرض بسته"
"Default Package Width","پهنای پیش فرض بسته"
"Delivered","تحویل شده"
"Destination Type","نوع مقصد"
"Development","گسترش"
"Displayed Error Message","پیام خطای نمایش داده شده"
"Domestic Shipment Days","روزهای حمل و نقل داخلی"
"Drop Box","دراپ باکس"
"Dropoff","دراپ‌آف"
"Empty response","پاسخ خالی"
"Enable Negotiated Rates","نرخ‌های مذاکره‌ای ممکن"
"Enabled","ممکن‌شده"
"Enables/Disables SSL verification of Magento server by UPS.","تایید SSL سرور مجنتو توسط UPS را ممکن می‌کند/ناممکن می‌کند."
"Error #%s : %s (%s)","خطای شماره‌ی %s : %s (%s)"
"Error #%s: %s","خطای شماره‌ی %s: %s"
"Europe First Priority","اروپا اولین اولویت"
"Express","اکسپرس"
"Express 10:30 AM","اکسپرس 10:30 صبح"
"Express Mail","پست اکسپرس"
"Express Saturday","اکسپرس شنبه"
"Express Saver","اکسپرس سیور"
"Failed to parse xml document: %s","شکست در تجزیه‌ی سند xml: %s"
"FedEx","فدرال اکسپرس"
