"All Websites","همه‌ی وب‌سایت‌ها"
"Apply Discounts To FPT","اعمال تخفیف‌ها بر FPT"
"Apply Tax To FPT","اعمال مالیات بر FPT"
"Display Prices In Emails","نمایش قیمت‌ها در ایمیل‌ها"
"Display Prices In Product Lists","نمایش قیمت‌ها در لیست‌های محصول"
"Display Prices In Sales Modules","نمایش قیمت‌ها در ماژول‌های فروش‌ها"
"Display Prices On Product View Page","نمایش قیمت‌ها در صفحه‌ی مشاهده‌ی محصول"
"Enable FPT","FPT ممکن"
"Excluding FPT","بدون FPT"
"Excluding FPT, FPT description, final price","بدون FPT، توصیف FPT، قیمت نهایی"
"Fixed Product Tax","مالیات محصول ثابت"
"Fixed Product Taxes","مالیات‌ها محصول ثابت"
"Include FPT In Subtotal","شامل FPT در جمع جز"
"Including FPT and FPT description","شامل FPT و توصیف FPT"
"Including FPT and FPT description [incl. FPT VAT]","شامل FPT و توصیف FPT [با FPT VAT]"
"Including FPT only","شامل FPT تنها"
"Total","مجموع"
"Total Incl. Tax","مجموع با مالیات"
"Total incl. tax","مجموع با مالیات"
